File	Mentions
GEM_1926_74	J.A. Alberdingk Thijm
GEM_1926_74	J.F.M. Sterck
GEM_1926_74	Albe
GEM_1926_80	Emile Erens
GEM_1926_82	Henk Kuitenbrouwer
GEM_1927_9	Willem Nieuwenhuis
GEM_1927_9	Willem Pijper
GEM_1927_9	Albe
GEM_1927_9	Israël Querido
GEM_1927_10	Gerben Colmjon
GEM_1927_10	Multatuli
GEM_1927_10	Wies Moens
GEM_1927_10	Charles Nypels
GEM_1927_13	Willem Doevenspeck
GEM_1927_13	Michel de Ghelderode
GEM_1927_14	Willem Pijper
GEM_1927_15	Epictetus
GEM_1927_17	Maria Viola
GEM_1927_17	Anton Van de Velde
GEM_1927_18	Henri Bruning
GEM_1927_18	Gerard Bruning
GEM_1927_21	Willem Nieuwenhuis
GEM_1927_24	L.J.M. Feber
GEM_1927_24	Herman Robbers
GEM_1927_24	Karel van den Oever
GEM_1927_25	Willem Kloos
GEM_1927_25	Albert Kuyle
GEM_1927_25	Albe
GEM_1927_25	Herman de Man
GEM_1927_30	Pierre Kemp
GEM_1927_33	Victor J. Brunclair
GEM_1927_34	Anton van Duinkerken
GEM_1927_35	Marie Koenen
GEM_1927_36	Willem ten Berge
GEM_1927_37	Willem ten Berge
GEM_1927_38	A. Roland Holst
GEM_1927_39	Albe
GEM_1927_41	Roel Houwink
GEM_1927_42	Roel Houwink
GEM_1927_43	Gerard Bruning
GEM_1927_44	Jan Engelman
GEM_1927_45	Albe
GEM_1927_45	Albert Helman
GEM_1927_46	Albe
GEM_1927_46	Albert Helman
GEM_1927_48	J.C. van Schagen
GEM_1927_49	Henrik Scholte
GEM_1927_50	A. den Doolaard
GEM_1927_51	A. den Doolaard
GEM_1927_52	Martien Beversluis
GEM_1927_53	Henk Kuitenbrouwer
GEM_1927_54	Henk Kuitenbrouwer
GEM_1927_55	Albert Kuyle
GEM_1927_55	Albe
GEM_1927_56	Albert Kuyle
GEM_1927_56	Albe
GEM_1927_58	Willem Nieuwenhuis
GEM_1927_60	Herman de Man
GEM_1927_62	J. Cuypers
GEM_1927_62	Willem Nieuwenhuis
GEM_1927_62	Wouter Lutkie
GEM_1927_62	Albert Helman
GEM_1927_62	Johan de Meester
GEM_1927_62	Albe
GEM_1927_62	Gerard Brom
GEM_1927_62	Charles Eyck
GEM_1927_64	Léon
GEM_1927_65	J.H. Abendanon
GEM_1927_67	H. Marsman
GEM_1927_67	A. den Doolaard
GEM_1927_67	Gerard Bruning
GEM_1927_67	Herman van den Bergh
