Author	POD
Joh. H. Been	Brielle
H.A. Kooyker	Groningen
F. Beelaerts van Blokland	Den Haag
G.H. Marius	
G.J. Kolff	
H.W.Ph.E. van den Bergh van Eysinga	Zutphen
Hendrik Doeff	Amsterdam
O.M. de Munnick	Den Haag
Anna van Hogendorp	
J.H. van den Broek	Brussel
Gerrit Halfcaegh	
H.L. Drucker	Den Haag
Gianni Riotta	
J.W. Doyer Jz.	
G.P. Rouffaer	
Margo Scharten-Antink	Florence
A.W. Byvanck	Leiden
Johannes Hermanus Gunning J. Hzn.	Amsterdam
D.G. Jelgersma	
Margaretha Meijboom	Voorburg
D.E. Siegenbeek van Heukelom	Leiden
D. Simons	
Egberdina Anna Junius	Arnhem?
F.A.F.C. Went	
Julius de Boer	Zeist
Gerrit van Gorkom	Den Haag
Hendrik Johan Haverman	
L.S. Meijer	
Aletta H. Jacobs	Baarn
Paul François Hubrecht	Doorn
Charlotte van Herwerden	
C.H.Th. Bussemaker	Leiden
L.E. Visser	
Anna Ekker	
Conrad Th. van Deventer	Den Haag
Judith Viorst	
Frans Mijnssen	
Ida Haakman	
Nellie van Kol	Utrecht
Fleur Bourgonje	
Anna Germonprez	Wilrijk
M. Tonnet	
Gerard van Eckeren	Wassenaar
M.J. Pijnappel	Amsterdam
Aloysius Brouwer Ancher	
Hugo Krabbe	Leiden
J.W. Jenny Weijerman	
P.C. Boutens	Den Haag
Bas Veth	Bussum
C.H. Kühn	
J.C. van Leyden	
W.P. Kops	Amsterdam?
S. van Aken	
G.H. Betz	Den Haag
A.D. van Assendelft de Coningh	Amsterdam
J. Marx	
Bernard Gewin	Utrecht
C.G.S. Sandberg	
T.J. de Boer	Den Haag
J. Eigenhuis	Epe
C.A. Worp-Roland Holst	
Arnoldus Wilhelmus Stellwagen	Apeldoorn
J.H. de Veer	Amsterdam
G.H. van Waveren jr.	
N. Mansvelt	Haarlem
J.C.G. Grasé	
H. van Hogendorp	
Gijsbert Karel graaf van Hogendorp	Den Haag
Johannes Hasselman	Tiel
Marie Metz-Koning	Ascona
Gerard van Hulzen	Den Haag
H.R. Offerhaus	
J.E. Jasper	
J.J.G. Vürtheim	
Richard de Cneudt	Gent
E. van Hille	
J.P. van Rossum	
C.K. Elout	Wassenaar
J. Mar. Ruys	
Maurice Wilmotte	
J.A. Simons-Mees	Den Haag
Antoon Derkinderen	Amsterdam
P.J. van Löben Sels	
A.W. Nieuwenhuis	
I. Kooistra	
G.P. Bakker	
P. Leendertz (jr.)	
B. Symons	
Willem Lodewijk van Helten	Den Haag
Alfred Listal	
Gideon Busken Huet	Parijs
J.D. van der Waals	Amsterdam
L.N. de Jong	
K.C. Boxman-Winkler	Utrecht
Dan. Engelen	Heerenveen
F.J.L. Rompel	Kaapstad
H.G. van der Vies	Baden Baden
T.J. Bezemer	Bennekom
Jacobus Boelen Jhz.	Utrecht
L.A.A. van Kervel	
J. Everts	Amsterdam
Maria Muller-Lulofs	Utrecht
Paul Fredericq	Gent
Elizabeth Visser	
Israël Querido	Amsterdam
Gerrit Simons	
Louis Carbin	Menton
Theodoor Bernard van Lelyveld	Den Haag
Johanna Naber	Den Haag
Martina G. Kramers	
C.B. Hylkema	
G. van Rijnberk	
W. de Vletter	
M.J. Brusse	Schoorl
Hélène Mercier	Amsterdam
D. Bos	Den Haag
H.L. Oort	
Pieter Corbeels	Doornik
Johannes Everts jr.	
F. de Haan	Haarlem
F.A. van Engen	
L.F. de Beaufort	Amersfoort
Sara Bouterse	
J.H. Blankert	
Hendrik Mulder	
Wilhelmus Johannes Kühler	Leiden
G.A. van den Bergh van Eysinga	Haarlem
W.E. van Dam van Isselt	Bilthoven
Johan Christiaan van Eerde	Amsterdam
W. Vollgraff	
G. Polvliet	
Ch.F. Haje	
A. Hotz	
Sam Goudsmit	
A. Kluyver	
L.H. Grondijs	Den Haag
Jan Limburg	
Karel Vos	Groningen
Jozef Israëls	Den Haag
Tine van Buul	Amstelveen
Martha Johanna Hamaker	
A.E. Thierens	Vlissingen
Gustaaf D' Hondt	Gent
J.J. Salverda de Grave	Den Haag
J. de Jager	
J.W.T. Cohen Stuart	Den Haag
H.J. Hamburger	
W.H. Hasselbach	
J.M. Hoogvliet	Den Haag
J.H. Deibel	
Nicolaas Japikse	Den Haag
A.J.G. Maclaine Pont	Hilversum
Anna van Gogh-Kaulbach	Haarlem
Louis Havet	
J. van den Bergh van Eysinga-Elias	
M.H. Lem	
A. Meyroos	
J. Hobma	
I. Zeehandelaar	
H.P. Staal	Den Haag
J. Boudewijnse	
J.D.C. van Dokkum	
Leo van Puyvelde	Ukkel
Martinus Poelhekke	
Samuel Pierre l' Honoré Naber	Den Haag
Jan Jacob Thomson	Baarn
F. Schmidt-Degener	Amsterdam
Arthur van Schendel	Amsterdam
Johannes Aarnout Loebèr jr.	
J.H.F. Kohlbrugge	
H. Buringh Boekhoudt	Velp
Nico Oosterbeek	
Th. van Ameide	Den Haag
P.N. van Eyck	Wassenaar
C. te Lintum	Den Haag
O. Oppermann	
Herman Robbers	Amsterdam
P. van Romburgh	
S. Bonn	Amsterdam
Hendrika Boer	
J.A. van Hamel	Baarn
Pieter Valkhoff	Hilversum
Geerten Gossaert	Utrecht
Rommert Casimir	Voorburg
Johannes Benedictus Kan	Apeldoorn
Eltjo Aldegondus van Beresteyn	Den Haag
William Davids	
Johanna Westerdijk	Baarn
H.G. van der Waals	
G.J. Nieuwenhuis	
Dorothée Buys	
Jacob Israël de Haan	Jeruzalem
Adriaan van Oordt	Bussum
E.M. ten Cate	Apeldoorn
J.H. Holwerda	
Herman Middendorp	Den Haag
Jan Jelles Hof	Leeuwarden
Nico van Suchtelen	Ermelo
Multatuli	Nieder-Ingelheim
C.J. Hasselman	
J. Prinsen J.Lzn	
Willem Meijer	
F.M. Wibaut	Amsterdam
Herman Baccaert	Mechelen
J.Ph. Vogel	
H.N. de Fremery	
Jac. P. Thijsse	Overveen
J.B. Kan	Den Haag
Jan Slingenberg	
H.F. Jonkman	
G.J. Heering	Oegstgeest
J.J. Tesch	Den Haag
P. Otten	
Coen Hissink	
J.J. Bekaar	
Wilhelm Loeb	Kimberley
Ina Boudier-Bakker	Utrecht
Aart van der Leeuw	Voorburg
J.D. Bierens de Haan	Haarlem
Nicolaas Messchaert	Utrecht
A.S. van Oven	
Just Havelaar	Amersfoort
Frederik Daniel Eduard van Ossenbruggen	
Hendrik Onnen	
Jan de Gruyter	Amersfoort
Johan Toot	
H.L. de Beaufort	
Richard Roland Holst	Bloemendaal
Th.M. Roest van Limburg	Amsterdam
C.E. Hooykaas	
H. Burger	
Willem Kalma	
J. Bosboom Nz.	
J. Philip van Goethem	
H.J. Westerling	
Jacobus Gerardus Veldheer	
Ernst Heldring	
Marie Loke	
J.C. Hol	
Johan van Meurs	
Peter Spaan	
N.H. Swellengrebel	Amsterdam
A.W. Weissman	Haarlem
Anton Reinhard Falck	Brussel
C. Kramer	
Leonie van Nierop	
C. Pekelharing	
J.J.B. Elzinga	
Johan Wesselink	
J. Berlage	Gorssel
H.P.N. Muller	Den Haag
J. Rietema	
Jan Overduin	Kampen
Gerrit Kalff jr.	Amsterdam
Jo van Ammers-Küller	Bakel
M.A. van Herwerden	
J.G. Sleeswijk	Den Haag
Frans Bastiaanse	Amsterdam
A.W. van Renterghem	
François Pauwels	Amstelveen
Jan Prins	Naarden
P.F.H. Fromberg	Buitenzorg
G.J. Hoogewerff	Florence
J. de Wit	
F. de Sinclair	
Gerard van den Hoek	Grouw
Jan J. Zeldenthuis	
Frank Gericke	
Zadok Stokvis	Dieren
A.H. Blaauw	Renkum
Kornelis Sneyders de Vogel	Groningen
G.C.J. Vosmaer	
C.A. van Manen	
C. Becker	Oldenzaal
F.E. Posthumus Meyjes	
Tannelie Blom	
F.W.J.G. Snijder van Wissenkerke	Rijswijk
Matthée Corneille Valeton	
L.L.C.M. van Outhoorn	
Jan van Rossem	
Joseph Loopuit	Amsterdam
Halbe Binnerts	Voorburg
Pieter Willem de Koning	
Jean-Pierre van Rossem	Sint-Pieters-Jette
Top Naeff	Dordrecht
A. van Collem	Heemstede
Em. Querido	Sobibor
Th. de Meester	Den Haag
Tobie Goedewaagen	Den Haag
W. Nolen	Den Haag
Wally Moes	
P. van Schilfgaarde	
W. de Sitter	Leiden
Karel Wasch	
Johan W. Schotman	Zwolle
Jac. D. Huizinga	Huizinge
S. Pinkhof	Oranienburg
A.A.H. Struycken	
A.J. Wensinck	
B.C.J. Loder	
Käthe Mussche	
K. Jansma	Amsterdam
Jac. van Looy	Haarlem
C.T. van Valkenburg	
S. Ritsema van Eck	
R. de Josselin de Jong	
Jan van Nijlen	Ukkel
Henri van Booven	Den Haag
Jelte Dijkstra	
P.H. Ritter jr.	Houten
J.P. Kuenen	
J.J. Boasson	
J.M. van IJssel de Schepper-Becker	
Adriaan J. Barnouw	Shelter Island
E. W. Holthuysen	
Petrus Raëskin	
M.J. Sirks	Groningen
Frits Hopman	Leiden
Dirk Merens	
Herman Lysen	
J. van Oudshoorn	Den Haag
Isidoor Teirlinck	Sint-Gillis
J. de Marees van Swinderen	Amsterdam
R.A. Verweij	
Meint Joustra	Leiden
E.C. van Dorp	Banjoe Biroe
W. Elink Schuurman	
A. van Hengel	
G.F.E. Gonggrijp	
Multavidi	
W.B. Kristensen	
H. van Loon	
Dan. de Lange jr.	
C. Lekkerkerker	
J. Rietsema	
Marie Schmitz	Dordrecht
H. Oort	Rotterdam
J.A. Eigeman	
A.H.M.J. van Kan	Den Haag
Martin Albers	
A.C. Josephus Jitta	
K.H. Roessingh	Leiden
G. Titta Rosa	Milaan
S.H. de Roos	Haarlem
Laurens van der Waals	Herwijnen
Henriette Laman Trip-de Beaufort	Bennekom
Andrew de Graaf	
Simon van Brakel	Dordrecht
P.C.J.A. Boeles	Leeuwarden
Job Steynen	
Emmanuel de Bom	Kalmthout
Madeleine Böhtlingk	Zeist
Herman Poort	Groningen
Cornelis Veth	Den Haag
D.M.G. Koch	
Timon Hendrik Fokker	Rome
A.J. de Sopper	Leiden
Herman Frijda	Auschwitz
Marie Cremers	Bussum
C.A. Verrijn Stuart	Zeist
Jeanne van Schaik-Willing	Amsterdam
Jac. C. Bloem	Den Haag
Johannes van der Elst	Haarlem
Hk. de Vries	
E.E. Gewin	Baarn
J.A. Schroeder	
Is.P. de Vooys	Arnhem
Antoon Thiry	Antwerpen
H.A. Enno van Gelder	Den Haag
Marcus van Blankenstein	Den Haag
Johan Fabricius	Glimmen
Jo de Wit	Den Haag
Henri Bakels	
Hendrika Ghijsen	Middelburg
F. Adama van Scheltema	
A. Geyl	
L. Ali Cohen	Haarlem
Johan Huijts	
W.M.F. Mansvelt	Java
Lode Baekelmans	Antwerpen
J.P. Fockema Andreae	Utrecht
Edith Werkendam	Brussel
J. Faber	
Frits G. Tingen	
A.M. Hammacher	Abano Terme
Isidoor van Beugem	Gent
Elisabeth Reitsma	
L.M.A. von Schmid	Den Haag
Sybrandi Braak	Wassenaar
C.M. van Hille-Gaerthé	Den Haag
Petrus van Renesse	
André Jolles	Leipzig
E.F. Kossmann	
D.Th. Jaarsma	
B.H. Rethmeier	
Gerbert Scholten	
E.C. Abendanon	Monte Carlo
F. Dijkema	Amsterdam
J.P.A. François	Den Haag
H.H.J. Moulijn-Haitsma Mulier	
Nine van der Schaaf	Bloemendaal
Jo Landheer	Apeldoorn
P. Verhagen Lzn.	
A.B. Droogleever Fortuyn	Utrecht
J. Burger	
J.J.L. Duyvendak	Leiden
Gerard Brom	Wijchen
J.A. Lambert-van der Kolf	
C. Bakker	Utrecht
J. Bierens de Haan	
J.W. Marmelstein	
Miek Janssen	
G.J.D.C. Stempels	
Jenny Mollinger	
W. Kuenen	
A.S. Oppenheim	
J.M. Bottemanne	Den Haag
Adriaan Daniel Fokker	Beekbergen
Willem Leendertz	Santpoort-Zuid
Beatrice Willing	
J.J. van Loghem	
Frans Maurits de Jaeger	Haren
Jooske Brandeler-den Beer Poortugael	Den Haag
J. Aalbers	
C.W. van der Pot	Den Haag
G.J. Geers	Groningen
Cornelia Serrurier	
J.P. Wesselink-van Rossum	
H.M.J. Oldewelt	
G.W.J. Bruins	Washington
Elize van Kaathoven	
J.H. Kramers	Oegstgeest
Siegfried E. van Praag	Brussel
Teatse Eeltsje Holtrop	
A.M. de Jong	Amsterdam
Constant van Wessem	Wassenaar
Daniël Crena de Iongh	New York
Sybrand Allard Waller Zeper	Leeuwarden
G.H. Hintzen	
H. Enno van Gelder	Den Haag
H.C. Hartevelt	
Albert Plasschaert	
Johannes Tielrooy	Amsterdam
Theodoor Jan Stomps	
H.L. van Oordt	
P. Verdoes	
W.E. van Wijk	Arnhem
G.J.C.A. Pop	
René Klinkenbergh	
J.C. Baak	Amsterdam
J.A.A.H. de Beaufort	Amersfoort
P.E. van Renesse	
C.J. Wolterbeek	Den Haag
Agatha Seger	
H.L. van Duyl	Utrecht
Willem de Mérode	Eerbeek
Philippus van Blom	Den Haag
Pierre Blussé	Den Haag
Willem van der Kaay	Den Haag
A. Kool	
Lodewijk Franck	Wijnegem
G.A. van Klinkenberg	
J.W. Teillers	
F.C. Dominicus	Den Haag
Willem de Clercq	Amsterdam
E.D. van Dissel	Ellecom
H. Ribbius	
P. Roosenburg	
W. Feuilletau de Bruyn	Den Haag
W.H. Staverman	Deventer
J.H. van Zanten	
Ferrad Whaley Hudig	Aerdenhout
Willem van Doorn	
A.G.N. Swart	
J. Reitsma	
H.T. de Graaf	
J.P. van Limburg Stirum	
J.C.C. Tonnet	
G.J. Morsch	
J.E. van der Pot	Rotterdam
C. Wolterbeek	
S.I. van Zuylen van Nyevelt	
D. Merens	
Boris Raptschinsky	
A.J. van der Steur	Rotterdam
A. Plate	
W. Kramer	Bussum
A.W.C. Zuidema	
Willem Pijper	Leidschendam
Wilhelm Martin	Den Haag
J.Z. Kannegieter	
Abraham Benjamin Cohen Stuart	Scheveningen
C. de Boer	Leiden
Reinier van Genderen Stort	Wassenaar
N.J. Polak	
Johannes Lindeboom	Groningen
Matthijs Vermeulen	Laren
Robert van Genechten	Den Haag
B.G. Escher	Arnhem
P.L. van Eck jr.	
C.J. Blaauw	Haarlem
D.F. Slothouwer	
R.W.J. den Tex	
Herman Vos	Antwerpen
F.J.A. Huart	Amsterdam
D.J. Sannes	
D. Dresden	Delft
J.B. Manger	Amsterdam
J.A.J. Barge	Leiden
L.A. Alting Mees	
A.A.M. Stols	Tarragona
L.J. van Holk	De Bilt
T.J.C. Gerritsen	Den Haag
C.L. Heesakkers	Leiden
Hermann Wolf	Amsterdam
B. van Geuns	Zaandam
Arnold Lysen	
Th. van Welderen Rengers	
Leendert van Lange	
E.A.N.P. Franchimont	
E. du Perron	Bergen
R.A.D. Cort van der Linden	
Pieter Zeeman	Amsterdam
Kasper Niehaus	Bergen
Maria van Royen	
F.G. Scheltema	Amsterdam
Jan Toorop	Den Haag
J.F. Kunst	
Fenna de Meyier	Wageningen
C.H. van Os	Delft
P.J. Fehmers	Leiden
Antoon Jacob	Antwerpen
Antoon Gerard Roos	Groningen
Ben Onie	
L.G.M. Baas Becking	Canberra
Boudewijn Nierstrasz	
J.W. van Nouhuys	Den Haag
Amand Simoens	Mortsel
R. Wiarda	
Lien ter Laan-van Lokhorst	Den Haag
M.A. Muusses	Laren
F.D.K. Bosch	Leiden
H.A. Mulder	Grahamstad
August Vanhoutte	Oostende
Jac. van Ginneken	Nijmegen
Roelof Kranenburg	Den Haag
J.M. de Casseres	Den Haag
W.E.J. Kuiper	
Hendrik Brugmans	Brugge
Godard Gosses	Zeist
Hermien Manger	
Willem van Maanen	Utrecht
Jan Kalf	Den Haag
J.M.J. Schepper	
Jérôme Decroos	Münster
Dirk Hudig	Amsterdam
Evert Willem Schallenberg	Amersfoort
C.M. Hamaker Sr.	
C. Binnerts	
W.J. van de Woestijne	
F.A. van der Hoeven	
I.J. Brugmans	Den Haag
Ralph Springer	
F.A.J. Vermeulen	
A.C. Kersbergen	
C.J.J. Westermann	
Jan P.M.L. de Vries	Utrecht
Jacob Haantjes	Goes
H.G.J. Maas Geesteranus	
I.H. Gosses	Groningen
Jan Carel de Haan	Oegstgeest
J. Zaaijer	
C. Tielrooy-de Gruyter	
Arie Zijderveld	Amsterdam
David Jacob van Lennep	Utrecht
Christoffel Verwey	
G.A. Nauta	
A.A. Bake	Londen
Richard Minne	Sint-Martens-Latem
Han G. Hoekstra	Amsterdam
Jaap van Gelderen	
W.L. de Vreese	Voorschoten
Anny C.A. Alberdingk Thijm	
H.N. ter Veen	
J.A. Pollones	
J. Wolterbeek Muller	
Gerrit Besselaar	Den Haag
Gabe van der Zee	Maarssen
Wilhelmina Smit-van de Wall	
P.J. Idenburg	
J.C.M. Warnsinck	Den Haag
N. Levi	
D. Cohen	Amsterdam
R.F. Beerling	Leiden
Jaap Kunst	Amsterdam
L. Kappeyne van de Coppello-Wijgers	
A. Feberwee	Soest
Leo Plemp van Duiveland	Amsterdam
H.Th. de Booy	Amsterdam
C.W. Roldanus	Haren
J.B. Besançon	Den Haag
Barend ter Haar Bzn.	Nijmegen
Jacoba Eggink	
C. Weststrate	
Douwe Kalma	Leeuwarden
André De Weerdt	Antwerpen
G.W.J. Drewes	Noordwijk
Henri Houben	
L.K. Wolff	
B. Vechtman	
Hugo de Groot	Rostock
Emile Verviers	
A.N.J. den Hollander	
M.R.J. Brinkgreve	Amersfoort
J.H. Pluvier	
P.C. Molhuysen	Den Haag
D.J.H. ter Horst	
A.H. Philipse	
Paul Cronheim	Amsterdam
K.S. van Heynsbergen	
Kees van Bruggen	Amsterdam
Elisabeth du Perron-de Roos	
A.W. de Groot	Laren
Klaas Heeringa	Utrecht
R.J. Kortmulder	
C.J. de Vogel	
Anton Koolhaas	Amsterdam
Homerus	
J.J. von Schmid	
K.F.O. James	
A. Hendriks-Kappelhoff	Velp
Ed Coenraads	Haarlem
Tine Brinkgreve-Wicherink	Leiden
B.M. Telders	Bergen-Belsen
Hermanus Arnoldus Idema	
Ar. Kwink	
P.J. van Winter	Groningen
H.A.C. Snethlage	
Marion Duimel	
J.H. Scholte	
J. Steur	
A. Jager	
Sofia Antoniadis	Athene
Edgar Allan Poe	Baltimore
J.G. van Dillen	Amsterdam
Theodorus Ligthart	
Jan Daman	Rotterdam
Gs. Finjee	Batavia
Erik Hörnström	
M.H. Székely-Lulofs	Amsterdam
G. van der Leeuw	Groningen
Aleksej Hackel	Leiden
E.H. ter Kuile	
F.W.S. van Thienen	
Jan Hulsker	Victoria, B.C., Canada
H. Hettema jr.	
C.D.J. Brandt	Utrecht
H.J. de Vleeschauwer	Pretoria
J.F. Haccoû	
G. Knuttel Wzn	Den Haag
A.J. Bernet Kempers	Arnhem
W.F. Prins	
Hajo Brugmans	Amsterdam
Chr. Cornelissen	Domme
Maurits Sabbe	Antwerpen
Ph.J. Idenburg	Wassenaar
Marie van Dessel-Poot	Brussel
Uys Krige	
J.R. van Blom	
Truus Gerhardt	Den Haag
G. Knuttel jr.	Rijswijk
Jan Willem Meyer Ranneft	Den Haag
Frans Buyle	Antwerpen
F.W. Prins	
Hermann Goetz	
Eline Canter Cremers-van der Does	Den Haag
H.N. Boon	Den Haag
T. van der Zee	
Hendrik Riemens	
H. van der Tuin	
J.J. Schrieke	
Arnoldus Noach	
J.F. Niermeyer	
Eduard Reeser	Utrecht
D.F.W. van Lennep	
J.N. Bakhuizen van den Brink	Leiden
Lode Zielens	Antwerpen
F.L. Ganshof	Brussel
Johan Wesseling	
F.S. Knipscheer	
C.J. van Geel	
P. Lascaris	
A.F. Zwaardemaker	
J.P. Wiersma	Groningen
Herman Dirk van Broekhuizen	Pretoria
Willem Johannes Leyds	Den Haag
S. Posthuma	
Stephan Ronart	
G.S. Overdiep	Groningen
J.H. Boeke	Leiden
N.J. Krom	Leiden
C.F. Roos	
H. Drion	Leiden
C.H. de Goeje	
A.L. Wurfbain	
J. Molemans	
G. Bolkestein	Den Haag
A. Hollenberg	
F.M.P. Oosterhof	Tours
W. Arondéus	Overveen
George Lodewijk Schorer	
Jan Willem Berkelbach van der Sprenkel	Haarlem
Wim van de Woestijne	
Jan Spoelstra	
H.J.F.W. Brugmans	Groningen
K. R. Gallas	Amsterdam
Nicolaas Johannes Cornelis Marie Kappeyne van de Coppello	
C.C. van de Graft	Utrecht
A.G.A. van Rappard	Utrecht
D. Loenen	
Waldie van Eck	
K. Posthumus	
F.W.A. Korff	Haarlem
M.J. Langeveld	Bussum
Willy Dols	
C.F.A. van Dam	Utrecht
A.C. Verbeek	
Leonhard Huizinga	Wassenaar
N.E.M. Pareau	Groningen
S.M. Noach	
H. Kraemer	Driebergen
J. Patijn	
D.T. Spronk	
C.F. Meyer	Kilchberg
Ida Gerhardt	Warnsveld
Andreas Glotzbach	
A.H. Nijhoff	Den Haag
Henk Vastenouw	
G.H. Blanken	Voorschoten
J.R. Evenhuis	
Christina Kroes-Ligtenberg	Den Haag
A.J. van Soest	
Koos Schuur	Almere Stad
E. Cantillon	Den Haag
Jan Barents	
Theo van Baaren	Groningen
W. Wiersma	
A.J. Jansen	
Th.H.J. van Huet	
J. Buffin	
P.W.J. Steinz	
Hein de Bruin	Amsterdam
Elizabeth Barrett Browning	Florence
K. ter Laan	Utrecht
Horatius	
Elisabeth Cheixaou	Zeist
K.H. Heeroma	Groningen
H.J. Pos	Haarlem
J.E. de Haas	
H.J. van Tienhoven	
J.G. Delfgaauw	
G. Révész	Amsterdam
O. Bottema	Delft
Daan Zonderland	Den Haag
F. Lulofs	Assen
W.Ph. Coolhaas	Bilthoven
Jan Waterink	Amsterdam
Guus Dijkhuizen	
Jorge Manrique	
G. le Maire	Bergen
H.P. van den Aardweg	Amsterdam
Jan Hendrik Jongkees	Utrecht
Johanna K. Oudendijk	
Herman Johannes Lam	
H. Wagenvoort	
Willem van Reymerswael	
G.J.H. Kuyk	
Frank Onnen	
Leo Verdievel	Oostduinkerke
F. Ph. Groeneveld	
G.M. van der Plank	
W.J.W. Koster	
W. Rip	
E. Horbach	
J.V. Rijpperda Wierdsma	Oegstgeest
J.H. Brouwer	Leeuwarden
C.W. de Vries	
Jacobus Schuurmans Stekhoven	
Th.H. Lunsingh Scheurleer	
Eva E. Gerretsen	
R.P. Cleveringa	Oegstgeest
H. Plessner	Göttingen
G. Milius	
J.D.M. Cornelissen	Nijmegen
H. Engel	Almen
Nel Veerman	
J. Hoogendoorn	
Alfred de Musset	Parijs
R. van Luttervelt	Lochem
C.W. Sangster-Warnaars	
M.C. van der Werff	
Jan Klein	
E. Smedes	Haarlem
W. Gerdes	
J. Delden	
G.F.W. van Berckel	
F. Oudschans Dentz	Claremont
August Henkels	
Karel Jonckheere	
A.E. Rosendahl Huber	
Martin Permys	Amsterdam
Ph. Kohnstamm	Ermelo
Johanna de Jongh	Breda
J. de Kanter	
L. Aletrino	Amsterdam
T.P. Sevensma	Hilversum
H. Gerversman	Rotterdam
J.M. Kramer	
L.C.T. Bigot	Arnhem
L. van den Ham	
Sergei Smirnov	
I.A. Bunin	
Dmitrij Sergeevic Merezjkovskij	
J.H. Thiel	Utrecht
A. van Velsen	
Willem van Everdingen	
A.M. van der Giezen	
Frouwien van der Vooren-Kuyper	
Herman Meyer	Roquebrune
K. Strijd	
J. Kruseman	
J.E. Verschaffelt	
Henk Breuker	Montpellier
G.H. 's- Gravesande	Bilthoven
H.E. Enthoven	New York
W. Vloedgraven-Stuyver	
R.A.V. van Haersolte	
Michel van der Plas	Leidschendam
Eduard Verkade	Breukelen
Jan Gonda	
M.C. Tideman	Huis ter Heide
Sjoerd Leiker	Hoorn
W. Lubberink	Hilversum
L.C. Michels	Ubbergen
A.A. Weijnen	Malden
J. Bax	
J.C.J. Kleijntjens	Den Haag
J.M. Sterken	
Lou Vleugelhof	
Tue Gad	
S.A.M. Bottenheim	Amsterdam
B. Faddegon	Ede
Marc Rozelaar	
Alexander Sizoo	Amsterdam
J. Peters	Heiloo
R.F. Scheltema de Heere	
L.J. Rogier	
Mies Bouhuys	Amsterdam
Willem den Boer	Leiden
J.R. Thorbecke	
L.W.G. Scholten	Utrecht
Dirk Schoute	Soest
Marinus van der Goes van Naters	
Bas van Gelder	Borculo
A. Bicker Caarten	
P.J. Enk	Groningen
H. van de Waal	Leiden
M. van der Plas	
P. Krug	
Johannes van Melle	Johannesburg
Nicholas G. Lély	
Jan C. M. Leijten	
I.J.M. van den Berg	
J.A. Bierens de Haan	Sienna
Amoene van Haersolte	Dalfsen
A.M. Chamalaun	
Henri A. Ett	Delft
Aede van Eysinga	Oenkerk
H.F.W.D. Fischer	Leiden
A. Kleijn	Oosterbeek
J.L.F. van Essen	Den Haag
Th.C. van Stockum	Heerenveen
Léon Polak	
Carl Mennicke	Frankfurt am Main
Abraham Schierbeek	Den Haag
Henri Overhoff	
M. de Vroede	Oostende
A.V.N. van Woerden	
Johan Tersteeg	Den Haag
Maarten Schneider	Den Haag
B.L. van der Waerden	
A.G.M. van Melsen	
Fanny de Jong	
Karel Kuypers	
Paul A.G. Dibon	Villiers sur Morin
Manuel van Loggem	
Jaap Romijn	Ellewoutsdijk
Alb. de la Court	
Julien Benda	Fontenay-aux-Roses
Nico Verhoeven	Sneek
Wouter Nijhoff	Den Haag
Th.M. Metz	
Henriëtte Schuurbeque Boeye	Amersfoort
Hanny Michaelis	Amsterdam
Carel Swinkels	Nuland
L.Th. Lehmann	Amsterdam
J.E. Jonkers	
J. van IJzeren	
Simon Vinkenoog	Amsterdam
C.H. Telders	Den Haag
J. Milius	
W.L.M.E. van Leeuwen	Schoorl
T.S. Eliot	Londen
Charles B. Timmer	
Hans Warren	Goes
M. Klaassen	
Dj. Adinegoro	Jakarta
Bertus van Lier	Groningen
F.W. Zeylmans van Emmichoven	Kaapstad
Hans Bendien	
John Vandenbergh	
Truman Capote	Los Angeles
Edward Arlington Robinson	
Carl Sandburg	
Ezra Pound	
Horace Gregory	Shelburne Falls, Massachusetts
Charles-Henry Ford	New York
Jan G. Elburg	Amsterdam
Kenneth Patchen	
Thomas McGrath	Minneapolis (Minnesota)
Gerrit Kouwenaar	Amsterdam
Robert Hayden	
Zack Gilbert	
Annetje Reens-Neufeld	
Frederick Franck	Warwick
Casper Höweler	
E.G. Marshall	Bedford
Anna Blaman	Rotterdam
Jan Spierdijk	
Jan Lincklaan Westenberg	
Hendr. Ad. Warmelink	Amsterdam
Mea Verwey	Santpoort-Noord
Harry Brander	
Laurens Welagen	
Barend Rijdes	Haarlem
Maurits de Meyer	Wilrijk
Nes Tergast	Den Haag
Jan Sebastian Rabie	
Ernst Denny Hirsch Ballin	
Dola de Jong	Laguna Woods, Californië
Dolf Verspoor	Amsterdam
Rivai Apin	
J.C. Brandt Corstius	Odijk
W. Nienaber-Luitingh	
A.C.M. Kurpershoek-Scherft	Leiden
D.G. van Vreumingen	
Hans Lodeizen	Lausanne
Lucebert	Alkmaar
Gerard Diels	Amsterdam
Theo J. van der Wal	Bergen
Josine Reuling	Amsterdam
H.E. Greve	Den Haag
J.C.A. Fetter	
Christine D'haen	Brugge
W.J. van der Molen	Orvelte
Tom Eekman	Laren
N.E.H. van Esveld	
G.J. van der Woude	
Carlo (graaf) Sforza	Rome
Giacomo Leopardi	
A.H. Luijdjens	
Enrico Nencioni	Ardenza
Gabriele d' Annunzio	Gardone Riviera
Goffredo Bellonci	Lido di Camaiore
G.A. Bouwman-Pot	
Vitaliano Brancati	Turijn
Antonio Baldini	Rome
Bruno Zevi	
Umberto Saba	Gorizia
Giulio Carlo Argan	
Corrado Govoni	
Lionello Venturi	
Eugenio Montale	Milaan
Mario Verdone	Rome
Massimo Mila	
Emilio Lavagnino	Genève
Hugo Claus	Antwerpen
Fred Polak	
David Scheinert	Koekelberg
H. de la Fontaine Verwey	Amsterdam
