Author	POD
Hendrik Houwens Post	Utrecht
Hélène Nolthenius	
Johan Berger	
A.L.M. Arnolds	Bunnik
C.J. Kelk	Doorwerth
H.W.J.M. Keuls	Ede
H.J.M.F. Lodewick	Cadier en Keer
Ab Visser	Amsterdam
Hubert Janssen	Gare du Nord, Parijs
Jacques Idserda	Laren
Jan Derks	
J. van Delden	Appingedam
F.J.J. Buitendijk	
P.H. van der Kemp	
Otto Dijk	
Otto van Eck	
Max Prick van Wely	
Anton van der Vet	
Peter Crassaerts	
R.J. Valkhoff	
J.J. Nieuwburg	
H. de Vries	
W.J.C. van Hasselt	Amsterdam
Nicolaas Beets	Utrecht
Jan Pieter Heije	Amsterdam
Hendrik Engelinus Weijers	Leiden
J. Ackersdijck	Utrecht
E.J. Potgieter	Amsterdam
Jacob Pieter van Walrée	Amsterdam
S.J. van den Bergh	Den Haag
J.P. Arend	Amsterdam
Herman Pol	Amsterdam
A.L.G. Bosboom-Toussaint	Den Haag
Willem Gerard Brill	Utrecht
Joël Emanuel Goudsmit	Leiden
S. de Visser S.zoon	
J.I.D. Nepveu	Utrecht
L.Ph.C. van den Bergh	Den Haag
Johannes Gerardus la Lau	Leiden
J.J.A. Goeverneur	Groningen
Conradus Leemans	Leiden
Jan van der Hoeven	Leiden
Cornelis Star Numan	Groningen
Montanus de Haan Hettema	
Taco Roorda	Leiden
John Bake	Velp
Johan de Wal	Arnhem
Jacob Geel	Den Haag
André van Hasselt	Brussel
J.F. Oltmans	Steenderen
A.L. Lesturgeon	Zweelo
Willem Ernst Johan Berg	Hilversum
Hendrik Jan Nassau	Assen
Wopke Eekhoff	Leeuwarden
H.F. Cohen	
Henricus Bernardus Martini van Geffen	
Petrus de Raadt	Voorschoten
Leigh Hunt	Londen
Willem Moll	
Johan Rudolph Thorbecke	Den Haag
Hendrik Chistiaan Millies	Utrecht
Adriaan Beeloo	Amsterdam
A.W. Engelen	Velp
Bartholomeus Philippus de Kanter	Den Haag
Levy Ali Cohen	Groningen
W.J.A. Jonckbloet	Wiesbaden
W.C.L. Clarisse	Harderwijk
R.C. Bakhuizen van den Brink	Den Haag
Henry Wadsworth Longfellow	
Joost Hiddes Halbertsma	Deventer
R.P.A. Dozy	Leiden
P.T. Helvetius van den Bergh	Den Haag
Friedrich Kaiser	Leiden
J. van Geuns	Amsterdam
Jan Gerhardus Ottema	Leeuwarden
Gerrit de Clercq	Amsterdam
C.J. van Assen	Velp
Gerardus Arnoldus Nicolaus Allebé	Amsterdam
C.W. Opzoomer	Oosterbeek
Johannes Aletta Marinus Mensinga	Flensburg
Abraham des Amorie van der Hoeven jr.	Utrecht
Dionys Burger	Amersfoort
Carl Ludwig Blume	Leiden
Willem Louis de Sturler	Den Haag
Willem Leonard Ritter	Haarlem
C.H.D. Buys Ballot	Utrecht
Jacobus Izaäk Doedes	Utrecht
Jacob Dirks	Leeuwarden
F.C. Donders	Utrecht
Jan van Gilse	Amsterdam
Johannes ab Utrecht Dresselhuis	Middelburg
Georges Declercq	
Jacques François Bosdijk	Amsterdam
A.J. de Bull	Baarn
Isaäc da Costa	Amsterdam
M.M. von Baumhauer	Delft
T.W.J. Juynboll	Leiden
G.E. Voorhelm Schneevoogt	Oosterbeek
Henry Riehm	Amsterdam?
P. Halbertsma	Bloemendaal
Joannes Jacobus de Hollander	Breda
T.K.M. von Baumhauer	Zutphen
E. Piaget	
D.D. Büchler	
Willem Richard Boer	Utrecht
J.J. Belinfante	Den Haag
Jacques Clement Perk	
E.W. Beth	Amsterdam
J.J. Viotta	Amsterdam
P.A. de Génestet	Rozendaal
J.J. Rovère van Breugel	
Dirk Harting	Enkhuizen
J.C.G. Evers	Den Haag
Jan Heemskerk Bzn.	Den Haag
E.B. Swalue	Amsterdam
G. Knoop	Harderwijk
Christiaan Lodewijk Schuller tot Peursum	Utrecht
J. Pijnappel	
J.A. Alberdingk Thijm	Amsterdam
Salomon Müller	
A.V. Michiels	Padang
P.W. Korthals	Haarlem
W.R. van Hoëvell	Den Haag
Pieter Leendertz Wz.	Dortmund
Mark Prager Lindo	Den Haag
Jacob van Lennep	Oosterbeek
A.C. Oudemans	Nijmegen
Johannes Zeeman	Overveen
Lodewijk Willem van Deventer	
Aug. Philips	
Jakob Karel Willem Quarles van Ufford	Den Haag
Hendrik Jan Spijker	Den Haag
Johan Carl Zimmerman	
H.J. Schimmel	Bussum
H.J. van der Helm	
Jacob Leonard de Bruyn Kops	Den Haag
Jacob de Witte van Citters	Montreux
Ernst Julius Kiehl	Middelburg
P.A.S. van Limburg Brouwer	Den Haag
W.J. Hofdijk	Arnhem
C.A.J.A. Oudemans	Arnhem
F.M. Cowan	op zee
J.G.A. Faber	
Johannes Adriaan Molster	
Henriette Frederika Bosscha	Twello
Hendrik Jacob van der Heim	Florence
C.L. van Woelderen	Dordrecht
Louis Susan Pedro Meyboom	Amsterdam
Daniel Koorders	Bennebroek
L.M. Heemskerk	
J.L. Dusseau	Amsterdam
Marinus Lodewijk van Deventer	Prinsenhage (Breda)
A. Rientjes	
S.J. Hoekstra	Heerenveen
Arie de Jager	Rotterdam
Gozewinus Acker Stratingh	Groningen
Winand Carel Hugo Staring	Klein Dochteren
H.W. de Graaf	
Pieter Arend Leupe	Den Haag
C.C. Huysmans	Den Haag
H. van Cappelle jr.	Voorburg
Elise van Calcar	Den Haag
Theo Hermans	
F.J. Swartwout	
Cornelis Hooyer	Barchem
Daniël Veegens	
Johannes Bosscha	Den Haag
L.J. Egeling	Den Haag
Pieter de la Court	Amsterdam
