	0
Else Lasker-Schüler	75.35598845598838
G. Kazemier	145.5130952380954
A. Boone	0.0
Max Lamberty	132.9297619047616
Jan Vercammen	145.4285714285714
H. Hulshof	119.93373015873023
Henri Wiessing	0.0
Fl. Bertiau	0.0
Gerrit Kamphuis	0.0
Remco Campert	118.01865079365102
J. Mathijs Acket	0.0
A. Carnoy	140.17976190476185
G.M. Boissevain	1.0
Fred Weerman	84.64051226551254
Stijn Streuvels	185.3428571428576
J.E. de Haas	121.6801587301588
C.J. Kelk	148.9107142857144
Wallace Stevens	111.16865079365114
Paul Schampaert	0.0
H. Marsman	170.09285714285755
Frank van der Goes	143.62023809523808
E. du Perron	169.8428571428576
J.C. Arens	0.0
W.H. Auden	75.35598845598838
Henricus	139.34642857142848
E.J. Dijksterhuis	175.8345238095244
J. Prinsen J.Lzn	126.34642857142829
Jeroen Brouwers	93.82063492063523
M.A. Schenkeveld-van der Dussen	132.01706349206344
Arie Verhagen	104.70912698412724
A. Stracke	126.34642857142829
Peter Berger	87.15396825396859
Anton Reichling	126.34642857142829
Marc Galle	0.0
A. Kibédi Varga	2.0
G.P. Frets	123.76349206349211
J. van Tooren	87.15396825396859
Mario Molegraaf	72.55043290043282
A.W. de Groot	140.779761904762
K. Kooiman	126.34642857142829
Marlies Philippa	2.0
S.A. Louw	129.94642857142827
Peter van Bart	77.74329004329034
G.J. Vis	85.47384559884587
Willem Jan Mari van Eysinga	121.1801587301588
Louis de Bourbon	139.18690476190466
Dirk Coster	194.95000000000059
T.T. Cloete	89.89368686868708
Eugène van Itterbeek	87.15396825396859
C. Vermeer	0.0
Ph.J. Simons	0.0
J. Taeldeman	121.85039682539694
M.J.M. de Haan	123.02420634920641
Herman Teirlinck	169.0761904761911
J.C. van Schagen	134.56071428571406
Virginie Loveling	137.5857142857141
C.C. van de Graft	126.34642857142829
P.H. Greiner	126.34642857142829
B.M. Telders	127.67738095238087
Cees Nooteboom	114.418253968254
H.P.H. Teesing	129.63253968253957
Gerrit Komrij	105.7531746031749
Sjoerd Leiker	126.34642857142829
Margriet de Moor	84.14051226551256
Max Rooses	137.12738095238075
Simon Vinkenoog	135.2773809523807
Jac. Weil	132.91904761904732
J. Noë	155.6380952380951
Elrud Ibsch	71.45465367965366
Carel Peeters	83.30717893217921
M.J. Sirks	122.34682539682545
Wim Hazeu	115.26865079365103
A.C. Bouman	126.34642857142829
Nop Maas	103.69960317460344
Jan van der Hoeven	87.15396825396859
A. Kool	98.15555555555589
Hella S. Haasse	2.0
J.E. van der Laan	126.34642857142829
Camiel Hamans	2.0
Jaap Kunst	139.12738095238072
Anneke Neijt	87.47384559884587
J.B. Drewes	122.61587301587309
William Davids	126.34642857142829
A.W. Grauls	126.34642857142829
André Jolles	133.7702380952378
Harry Bekkering	85.47384559884587
Lodewijk Maerevoet	0.0
J.J. Wesselo	94.37698412698444
M. Schurmans	112.54761904761912
G. Colmjon	126.34642857142829
Willem Gerard van Nouhuys	0.0
August Cuppens	0.0
Henricus Oort	0.0
J.H. Hooijer	1.0
A.V. Michiels	91.55952380952431
Ariane van Santen	84.14051226551256
S.F. Witstein	126.03968253968263
J.J.L. ten Kate	130.89642857142826
Hanneke van Buuren	94.04365079365111
Jozef Uytterhoeven	108.18095238095246
Peter King	114.04920634920637
Maurice Roelants	170.1928571428571
R. Foncke	126.34642857142829
Charles Boissevain	0.0
Bergman	154.86190476190455
Pszisko Jacobs	87.15396825396859
R.C. Bakhuizen van den Brink	130.39523809523777
W. van Schothorst	126.34642857142829
Riemer Reinsma	2.0
