	0
Anton Koolhaas	10
A. Kool	10
Homerus	1
Thomas Mann	3
H.E.H. van Loon	5
Gerlach Royen	6
J.C. Brandt Corstius	6
Hein Boeken	9
Yge Foppema	5
F. Bordewijk	9
O. Noordenbos	5
M.J. Langeveld	5
J.J. Vriend	9
E.W. Beth	5
L.H. Grondijs	5
J.D. Meerwaldt	5
J.J.L. Duyvendak	5
Wouter Paap	11
B.M. Telders	5
D. Loenen	5
J.D. Bierens de Haan	5
G.S. Overdiep	4
Jan Campert	11
Eduard Reeser	5
Emmy van Lokhorst	5
J.N. Bakhuizen van den Brink	5
G.W. Wolthuis	5
J.S. Bartstra	5
G.G. Kloeke	6
Jaap Kunst	5
K.F. Proost	5
W. Banning	5
H.J. Pos	5
Anton van der Boom	9
M.J. Sirks	5
A.N. Molenaar	5
C.F.A. van Dam	1
Miguel de Cervantes Saavedra	1
H. Wagenvoort	5
B.A. van Groningen	5
J.C.H. de Pater	5
S.M. Noach	6
J.C.A. Fetter	5
Willem Jan Mari van Eysinga	5
K. Strijd	5
C.J. de Vogel	5
G. van der Leeuw	5
Johan van der Woude	1
Simon Vestdijk	9
N.E.H. van Esveld	5
Johannes Lindeboom	5
C.J. Kelk	5
A.G.M. van Melsen	5
Jan te Winkel	1
J.E. de Haas	5
G.P. Frets	5
H.J. Prakke	5
Ferdinand Langen	5
Marie Ramondt	5
Gerard van Eckeren	5
W.Ph. Coolhaas	5
Guus Dijkhuizen	11
Johanna K. Oudendijk	5
Henricus	6
Gabriël Smit	5
H. Engel	5
G. Révész	5
J. Keuning	5
Jan Barents	5
Hubert Lampo	3
Piet van Aken	3
Johan Daisne	3
Raymond Herreman	3
August Vermeylen	3
I.J.M. van den Berg	5
Karel Jonckheere	3
Raymond Brulez	3
Martin Permys	5
W.J. Verdenius	5
L. van den Ham	5
C.W. Roldanus	5
Willem van Maanen	5
Francis Bacon	5
C.F.P. Stutterheim	6
H.F.W.D. Fischer	5
Paul Rodenko	9
C.W. de Vries	5
J.M. Kramer	5
B. Hunningher	1
J. de Graaf	5
Mary Dresselhuys	5
Bert Voeten	5
Jaap Romijn	5
René Verbeeck	3
Urbain van de Voorde	3
Wim Vesseur	5
Mea Verwey	1
W.H. Staverman	9
Max Croiset	5
Ton Lutz	5
Anna Blaman	5
Luisa Treves	5
Jan Sebastian Rabie	5
Hugo Claus	11
Luc Lutz	5
Karel Meeuwesse	9
Frank van der Goes	1
Paul van Ostaijen	4
A.L. Sötemann	4
Julien Jozef Kuypers	3
K.H.R. de Josselin de Jong	20
R. de Josselin de Jong	20
H.H.J. de Leeuwe	6
R.J. Forbes	5
Henri Wiessing	1
David Koning	11
P. Minderaa	6
A. Alberts	9
C.B. van Haeringen	6
K. Lekkerkerker	9
D.A. de Graaf	1
Gerben Colmjon	1
C. Bittremieux	6
Victor E. van Vriesland	9
Leo Vroman	11
W.J.H. Caron	6
H.W. van Tricht	4
Ben Stroman	9
Herman van den Bergh	1
Lucebert	11
Bert Bakker	5
Willem Elsschot	3
C.A. Zaalberg	6
José-Maria de Heredia	4
Elisabeth Eybers	4
Sybren Polet	11
Amy van Marken	11
Attila József	21
A. Kibédi Varga	21
Sándor Weöres	21
David Rokeah	5
W.A. Braasem	11
Alfred Kossmann	1
Gerrit Achterberg	4
Hans Andreus	11
Martien J.G. de Jong	9
Piet Calis	9
Theo van Baaren	5
Paul de Wispelaere	11
Ivo Michiels	3
G.J. Resink	6
A.L. Constandse	11
J.B. Charles	5
Karel De Clerck	1
G.J. Geers	5
Blas de Otero	5
R.A. Cornets de Groot	11
J. Bernlef	11
Hans Verhagen	11
Jan Hanlo	10
Gerrit Kouwenaar	11
Paul Snoek	4
Ezra Pound	11
Ad den Besten	11
Jan G. Elburg	10
Cyriel Buysse	3
Han Lammers	11
Paul van 't Veer	11
J.L. Heldring	11
Ger Harmsen	9
W.J.C. Buitendijk	6
K. Schippers	11
Albert Besnard	9
Harry Mulisch	11
Dylan Thomas	11
Remco Campert	11
Armando	11
C. Buddingh'	11
Bertus Aafjes	10
H.A. Gomperts	11
Chris van der Weye	9
Peter Schat	11
Coenraad van Emde Boas	5
W.L. Brugsma	11
J.C. van Schagen	10
Cees Nooteboom	10
Frits Kief	9
Reinbert de Leeuw	11
Louis Paul Boon	11
Hans Henkemans	11
Heere Heeresma	11
Arie de Froe	11
J. Sperna Weiland	11
Simon Vinkenoog	1
Koos Schuur	1
F.B. Löhnis	11
H.M. van Randwijk	11
L. de Jong	11
Bert Schierbeek	11
Wallace Stevens	11
Hans Keller	11
Jac. van Hattum	11
Maurits Mok	11
Louis Andriessen	11
Jan Blokker	11
Matthijs Vermeulen	11
Edmond Campers	11
S.R. de Groot	11
S. Dresden	4
Victor J. Brunclair	11
Roel van Duyn	11
Judith Herzberg	11
Maurice Gilliams	3
Willem Frederik Hermans	4
Rudi Fuchs	11
J. Bosch	4
T.S. Eliot	11
Joris Ivens	11
Joris Iven	11
Annie Romein-Verschoor	5
Peter Brook	11
Aad van der Mijn	11
Rein Bloem	11
Frits Staal	11
Noam Chomsky	11
Krijn ter Braak	11
Wilbert Bank	11
Rudolf Geel	11
J.W. Holsbergen	11
G. van Benthem van den Bergh	11
Loden Vogel	11
Günter Grass	11
Daniël de Lange	11
Bastiaan Willink	11
Dick Elffers	11
Guy Kilian	11
Sigmund Freud	11
Miguel de Unamuno	11
Abram de Swaan	11
Norbert Elias	11
Leo Ross	4
Jacob Israël de Haan	9
Ton Anbeek	4
W.F. Wertheim	5
H. de Lange	11
Herman de Lange	11
T.A. van Dijk	4
Bram van der Lek	11
H.J. Verkuyl	4
W.G. Klooster	4
Lien Heyting	11
Wim Hazeu	11
J.J.A. Mooij	4
A. Mooij	4
Bert Vanheste	11
David Kettler	11
Bart van Heerikhuizen	11
James Joyce	10
Rien T. Segers	9
Anton Blok	11
Johan Goudsblom	11
Wiel Kusters	10
Emma Brunt	11
Lodewijk Brunt	11
Huub Beurskens	10
R.B. Kitaj	10
W.A.M. de Moor	6
Frans W. Saris	23
N.G. van Kampen	23
Enno Endt	10
Rainer Maria Rilke	10
Christel van Boheemen-Saaf	10
D.H. Lawrence	10
Peter van Zonneveld	4
Kees Fens	4
Jaap Goedegebuure	4
Gottfried Benn	10
Maarten Steenmeijer	24
Octavio Paz	24
Nico Wilterdink	11
Hans Faverey	10
J. Weisgerber	11
Juan Carlos Onetti	24
Mario Vargas Llosa	24
Mario Molegraaf	10
Hans Warren	10
Ton Naaijkens	10
Paul Celan	10
Remco Ekkers	10
Jan van Luxemburg	4
Marc Galle	3
Kas Deprez	4
G. Geerts	4
Anne Marie Musschoot	4
Paul Claes	6
W.P. Gerritsen	4
Graa Boomsma	10
Harry G.M. Prick	4
F. Jansonius	9
Agnes Verbiest	4
A. Agnes Sneller	4
P.J. Buijnsters	6
Hieronymus van Alphen	6
Mieke Bal	4
Clarín	24
W.J. van den Akker	4
D.W. Fokkema	4
G.J. Dorleijn	4
W.H. Auden	10
Jos Joosten	4
Ernst van Alphen	4
Hugo Brems	10
Anne Duden	10
Else Lasker-Schüler	10
Hugo Bousset	10
Peter Verhelst	10
Eric de Kuyper	10
Jan Fabre	10
Patricia de Martelaere	10
M. Februari	10
Charlotte Mutsaers	10
Dirk van Bastelaere	10
Leo Pleysier	10
Pol Hoste	10
Koen Peeters	10
Walter van den Broeck	10
Atte Jongstra	10
Anneke Brassinga	10
Stefan Hertmans	10
M.E. Belpaire	3
Johannes Jörgensen	3
Paul Alberdingk Thijm	3
Jan Emiel Vliebergh	3
E. Vliebergh	3
A. Dupont	3
Jaak Muyldermans	3
Jozef Jacobs	3
Fr. Meeus	3
Peter Benoit	3
Constance Teichmann	3
Jules Persyn	3
Frans Drijvers	3
Hugo Verriest	3
August Cuppens	3
J. Salsmans	2
O. Cornet	3
Bergman	2
Aloïs Walgrave	3
Lodewijk Ontrop	3
A.W. Sanders van Loo	9
Floris Prims	3
Selma Lagerlöf	3
Louisa Duykers	3
G. van Poppel	9
Alfons Fierens	2
G. Kurth	2
Hilda Ram	3
Lodewijk Dosfel	3
Frans van Cauwelaert	9
Jacob Smit	9
Constant Eeckels	3
Jozef van Mierlo	6
Albertine Steenhoff-Smulders	1
Annie Salomons	1
Antonio Fogazzaro	3
Fernand Toussaint van Boelaere	3
Marie Koenen	2
Jozef Simons	2
D.C. Tinbergen	3
Felix Rutten	3
Jan Hammenecker	3
Cyriel Verschaeve	3
J.W. Muller	6
Marie Schmitz	3
August van Cauwelaert	3
Gustaaf Segers	1
Achilles Mussche	3
Lambrecht Lambrechts	1
Hilarion Thans	2
Dirk Vansina	3
J.A. Hallez	3
Jac. Weil	4
Jean Cocteau	3
Jozef Uytterhoeven	3
Paul Claudel	3
Léopold Levaux	2
Sigrid Undset	3
L. de Smet	3
J.A. Goris	3
Ruth Schaumann	3
Pertinax	9
Raphaël M.J. Kreemers	3
Ilja Ehrenburg	3
Marcel Lobet	6
Edward Rombauts	9
Max Lamberty	3
Albert Westerlinck	3
Fernand Deschamps	9
Bert Decorte	3
Paul de Vree	9
J.J. Gielen	9
Marcel Coole	3
Juul Filliaert	3
I.K. Illakowicz	3
Anton van Wilderode	9
Pierre H. Dubois	6
Lode Roose	6
Gabriela Mistral	3
Albert van Hoogenbemt	3
R.F. Lissens	6
J.A. van Houtte	2
Joos Florquin	4
Omer Wattez	1
Jan van Beers	1
J.B. Schepers	1
Paul Fredericq	1
Christine D'haen	4
A. van Elslander	6
Emiel Jan Janssen	2
Tirso de Molina	9
Hubert van Herreweghen	10
Herwig Hensen	1
J.A. Worp	6
Fernand Auwera	11
Jef Geeraerts	4
Willem M. Roggeman	10
W. Ruys	10
Patricia Lasoen	10
Marko Fondse	10
Eddy van Vliet	10
Daniël van Ryssel	10
Herman de Coninck	4
Jacques Kruithof	4
Stefaan van den Bremt	10
Huub Oosterhuis	10
Jan van der Vegt	4
Gerd Segers	10
Ludo Abicht	10
Harry Scholten	10
Lionel Deflo	4
Wim Zaal	10
Paul Vanderschaeghe	10
Julia Tulkens	10
Willy Spillebeen	4
J.J. Wesselo	4
Roland Jooris	10
Charles B. Timmer	10
H.C. ten Berge	4
Peter Berger	10
Hans Vlek	10
Julien Vangansbeke	10
Jan Vanriet	10
Clem Schouwenaars	10
Willem Wilmink	10
Roger Pieters	10
Alstein	10
Mark Insingel	10
Gerrit Krol	10
Erik van Ruysbeek	10
Gerrit Komrij	4
Robin Hannelore	10
Marcel van Maele	10
Frans Depeuter	10
Jacques Hamelink	10
Bernard Kemp	10
Dirk Christiaens	10
Jeroen Brouwers	10
Martin Ros	10
Geert van Beek	10
Jaap Harten	10
Anton Korteweg	4
Ad Zuiderent	4
C.O. Jellema	10
Jo Gisekin	10
Freddy de Vree	10
Jozef Deleu	10
L.H. Wiener	10
H. van Gorp	4
Lieven Rens	6
Wilfried Adams	10
Karel van het Reve	10
Frans Boenders	10
Hugues C. Pernath	10
Patrick Conrad	10
J.J. Oversteegen	4
Sjoerd Kuyper	10
J. van Tooren	10
Jan Wolkers	4
José Boyens	10
Georges Wildemeersch	10
Monika van Paemel	4
Marcel Janssen	4
Maarten 't Hart	4
Anton Haakman	10
Marcel Janssens	6
Miel Vanstreels	10
J. Uyttendaele	10
Tymen Trolsky	10
