	0
S.P. Uri	1
H. de Vocht	1
Paul Lebeau	1
H.P.H. Teesing	6
Willem Doorenbos	1
Adriaan Morriën	1
C.G.L. Apeldoorn	1
Victor Varangot	1
C.M. Geerars	6
C.J.E. Dinaux	1
Lodewijk Maerevoet	1
J.G. Bomhoff	6
F.J.P. Peeters	1
Michel van der Plas	1
W.J. Buma	6
A.J.J. de Witte	6
A. Sassen	4
W.Gs Hellinga	6
J.A. Huisman	6
F.L. Zwaan	4
A.G.H. Bachrach	6
J.D.P. Warners	6
D.Th. Enklaar	6
A. Teeuw	6
W.E. Hegman	6
D.P. Blok	6
F. van Vinckenroye	6
M. Hanot	6
F. Ketner	6
Peter King	6
S.F. Witstein	6
Pierre Brachin	6
J. Deschamps	6
W.J.A. Jonckbloet	6
R. Lievens	6
L. Peeters	4
F.G. Droste	4
L. Brummel	6
V.F. Vanacker	6
Jan van Bakel	6
Jaap Meijer	9
Wim J. Simons	6
Peter van Eeten	6
L. Koelmans	4
J.C. Arens	6
Hilda van Assche	6
Ada Deprez	6
J. Goossens	4
W. Drop	6
Hubert J. Michaël	9
M.C.A. van der Heijden	6
N. de Paepe	6
P.E.L. Verkuyl	6
Drs. P	6
H.A. Wage	4
Ger Schmook	6
Matthias de Vries	4
H. Entjes	4
S. Carmiggelt	4
F. Lulofs	4
H.M. Hermkens	4
R. Vos	1
A. Kraak	4
L. Elaut	2
W.M.H. Hummelen	4
J. 't Hart	4
J.J. Spa	6
B.C. Damsteegt	4
W. Martin	6
A.A. Weijnen	4
D.M. Bakker	4
A. Feitsma	4
W. Gobbers	6
Norbert Morciniec	4
R. Jansen-Sieben	4
W.A. Ornée	4
J. Taeldeman	4
H. Hulshof	4
A. Gruijs	4
Piet Delen	4
H.H. Grünhagen	4
M.J.M. de Haan	4
J.P. Gumbert	4
Eldert Willems	4
Breyten Breytenbach	4
J.B. Berns	4
L. Mosheuvel	4
J.G. Kooij	4
Ludo Simons	4
Fons van Buuren	4
C. van de Ketterij	4
Jan Stroop	4
Rob Nieuwenhuys	4
R.L.K. Fokkema	4
G.R.W. Dibbets	4
H.W.J. Vekeman	4
T.T. Cloete	4
A.G.M. Vermeulen	4
J.W. de Vries	4
J.M.J. Sicking	4
Marita Mathijsen	4
J. Reynaert	4
M.K. van Dort-Slijper	4
Fr. Daems	4
N.C.H. Wijngaards	4
Jan Noordegraaf	4
Louis Ferron	4
J. Molemans	4
A. Sturm	4
A.N. Paasman	4
Dirk Coigneau	4
A.M. Hagen	4
Carel Peeters	4
Marijke Spies	4
Frank van Gestel	4
Orlanda S.H. Lie	4
F.W.N. Hugenholtz	4
P.N.G. Pesch	4
Evert van den Berg	4
W.A.A.M. Merlijn	4
J.A. Dautzenberg	4
Frans Claes	4
Martin Hartkamp	4
A.J. Hanou	6
D.H. Lammers	4
Jan Schoolmeesters	6
J.H. Maureau	4
Gerard Verhoeven	4
Mark Baeyens	4
Hella S. Haasse	4
G.F.H. Raat	4
C.W. van de Watering	4
Sies de Haan	4
Ton van Haaften	4
Antoine Braet	4
J.M. Willeumier-Schalij	4
Rudy Kousbroek	4
J. van Marle	4
Wim Rutgers	4
M.H. Schenkeveld	4
Bert van Selm	4
R.W.W.M. van der Drift	4
Marlies Philippa	4
P.J. Verkruijsse	4
Aad Nuis	4
Camiel Hamans	4
Guus Extra	4
René Appel	4
Eep Francken	4
N. van der Blom	4
Hanna Stouten	4
G. van Eemeren	4
Marijke Meijer Drees	4
Siem Bakker	4
G. Gerritsen-Geywitz	4
Maarten van Buuren	4
Piet Meeuse	4
Ward Ruyslinck	4
Mieke B. Smits-Veldt	4
Hans van den Bergh	4
Hans Heestermans	4
Rob Rentenaar	4
Philippe Noble	4
W. Bronzwaer	4
Lia van Gemert	4
P.H. Schrijvers	4
Aleid Truijens	4
Dick Springorum	4
Ad Foolen	4
Willem G. Weststeijn	4
G.J. Vis	4
Frida Balk-Smit Duyzentkunst	4
J. A. Le Loux-Schuringa	4
Kitty M. van Leuven-Zwart	4
Riemer Reinsma	4
M. Vasalis	4
W.S. Huberts	4
Jozef D. Janssens	4
A. Moerdijk	4
Toon Tellegen	4
Jan Fontijn	4
W.F.G. Breekveldt	4
Ton Harmsen	4
Olf Praamstra	4
B.P.M. Dongelmans	4
Paul Gillaerts	4
August Hans den Boef	4
Theo A.J.M. Janssen	4
Harry Bekkering	4
Hans Bennis	4
Bart Besamusca	4
S.C. Dik	4
Cyrille Offermans	4
Frank Berndsen	4
Aster Berkhof	4
Irene Spijker	4
A.A. Keersmaekers	6
J.J.M. Westenbroek	4
Hans Vanacker	4
Guillaume van der Graft	5
Bernhard F. Scholz	4
Stanislaw Predota	4
Willy Vandeweghe	4
Hanneke Houtkoop-Steenstra	4
Roger Henrard	6
Ron Elshout	4
J.A. van Leuvensteijn	4
Jean Brüll	4
Tanja Janssen	4
Piet Visser	4
Korrie Korevaart	4
van der Veur	4
Ares Koopman	4
Rudolf Dekker	4
Ben van Melick	4
Jan Klein	4
J.H. Winkelman	4
Gé Vaartjes	4
Hans Luijten	4
Ineke Bulte	4
P.J.A. Franssen	4
Marieke M. van Oostrom	4
Hans Renders	4
Hanneke Eggels	4
Dirk Geeraerts	4
Jan Nijen Twilhaar	4
Jaap de Jong	4
Dieuwke E. van der Poel	4
Frans Ruiter	4
Pieter Nieuwint	4
Maaike Meijer	4
Cor van Bree	4
Fabian R.W. Stolk	4
Kees Singeling	4
Marc Van Vaeck	4
Joost Niemöller	4
Rogi Wieg	4
Mary G. Kemperink	4
Herman Giesbers	4
Ton van der Wouden	4
Ralf Grüttemeier	4
Jacqueline de Man	4
Thomas Vaessens	4
Ben Salemans	4
Wilbert Smulders	4
A. Middeldorp	4
Annie van den Oever	4
Henk Bloemhoff	4
Kees Snoek	4
Michiel van Kempen	4
Ariane van Santen	4
Annelies van Gijsen	4
Louis Peter Grijp	4
Ben Peperkamp	4
Lisa Kuitert	4
Eric Hoekstra	4
Ton van Strien	4
Theo Hermans	4
Hans Broekhuis	4
Marijke J. van der Wal	4
Yves T'Sjoen	4
Joost Zwagerman	4
Margriet de Moor	4
Hans Groenewegen	4
Theo Meder	4
Joris Gerits	4
Jacqueline Bel	4
Paul Van Keymeulen	3
Hugo Walschap	3
Lucien Brulez	3
Stéphane Mallarmé	3
Leopold Flam	3
Lidy van Eijsselsteijn	2
Anna Mertens	5
Henk Krijger	5
Ab Visser	5
C. Vermeer	5
C. Ouboter	5
J.C. Schuller	5
Koos van Doorne	5
M. Siesling	5
P.A. Hekstra	5
Jaap Das	5
K.J. Popma	5
J. van Doorne	5
Johan van Hulzen	5
S.J. Popma	5
Arjen Miedema	5
Jan Elzo Niemeijer	5
Aart Romijn	5
Etus Alons-Bernhardt	22
Endre Ady	22
J.H. Schouten	5
Coert Poort	5
William Blake	1
Emiel Willekens	6
Carlos Tindemans	6
Piet Couttenier	6
Paul Schampaert	9
Ingrid van de Wijer	6
K. du Bois de Vroylande	2
F. De Raedemaeker	2
Eugenius Druwé	2
L. Arts	2
R. van Ooteghem	2
Edw. De Schaepdrijver	2
J. Donceel	2
Alb. Raignier	2
M. Dufraing	2
Gaston Van Bulck	2
Anton Van de Velde	2
G. De Wolf	2
A. Snoeck	2
H. Bruders	2
Louis H.M. Monden	2
B. De Wint	2
L.G. Polspoel	2
Jan Jozef van Laer	2
W. De Roy	2
Marcel Matthijs	2
Marcel van Caster	2
A. Darquennes	2
Ad. Jansen	2
L. Vander Kerken	2
E.J. Vandenbussche	2
L. Verelst	2
Hugo Vandeperre	2
Edouard Dhanis	2
J. De Jaegher	2
Leo Simoens	2
P. Ellerbeek	2
W. Talloen	2
M. Schurmans	2
Edgard de Bruyne	2
Michiel Dierickx	2
Karel van Isacker	2
L. Baudez	2
Walter F. Smet	2
P. Goedertier	2
Albert Deblaere	2
Clemens Maria Beukers	2
E. de Strycker	2
Alb. Block	2
R. Leijs	2
E. De Cooman	2
Fr. van Baarle	2
M. van Stratum	2
J. Smets	2
Pieter Frans Fransen	2
G. Van Cutsem	2
Em. Peeters	2
H. Peeters	2
Marcel Brauns	2
Louis Sterkens	2
W. Luyten	2
Jos. Burvenich	2
Antoon Fimmers	2
J. Talloen	2
I. De la Potterie	2
Louis Bruyns	2
J.B. Poukens	2
B. Boeyckens	2
G. Huyghe	2
Fl. Bertiau	2
Jozef Andriessen	2
G. Garmijn	2
Paul Maria Jozef de Meester	2
L. Mestdagh	2
J. De Fraine	2
G. Gilleman	2
A. Boone	2
Jan Bruna	9
Fr. de Jong Edz.	5
Pieter Korthuys	5
G.E. Mulder	5
