Author	DOD
Bert Bakker	19 september 1969
Jef Last	15 februari 1972
Frank Valkenier	10 december 1999
Simon Vestdijk	23 maart 1971
Bert Decorte	13 oktober 2009
Martin Leopold	1982
Johan de Molenaar	31 maart 1969
A.A. Smijers	15 mei 1957
Piet Beek	28 oktober 1990
Willem Hoffman	1991
Wiel van der Randen	24 juli 1949
C.J. Vos	9 oktober 1955
G. Engelberg	
René Berghen	13 januari 1988
Marcel Matthijs	30 augustus 1964
Bert Verbist	1992
Blanka Gyselen	29 mei 1959
Albe	10 oktober 1973
Marnix van Gavere	27 januari 1974
Gabriëlle Demedts	6 september 2002
René Verbeeck	13 november 1979
Edgar Twello	1959
A. van der Wey	1988
Charles Roelofsz	5 augustus 1962
August Vermeylen	10 januari 1945
Adrien Jans	24 september 1973
Hans Keilson	31 mei 2011
Jan Bent	ca. 1775
Maurits Dekker	7 oktober 1962
Gustav Delory	17 augustus 1925
Jacob Hendrik van Duinen	7 november 1885
Joh. Hartog	1997
Chris van der Weye	29 augustus 1973
F.J.J. Buytendijk	1974
Roel Verlaan	
Leo Heirman	6 september 1982
Albert C.A. Voortman	20ste eeuw
Max de Jong	10 juni 1951
A.G.M. van de Wijnpersse	1968
Robert Franquinet	30 mei 1979
Maarten Vrolijk	7 februari 1994
Bert Peleman	1995
A. Marja	10 januari 1964
Reinold Kuipers	12 september 2005
Ferd. Sassen	16 september 1971
D.A. de Graaf	1981
Walter Breedveld	18 december 1977
Marianne Philips	13 mei 1951
Jeanne Liedmeier	
G. Vos de Wael	1952
Loe Maas	2 november 1970
K.J. Hahn	2001
Jacques Benoit	12 september 1991
Hendrik Houwens Post	1 september 1986
Hélène Nolthenius	22 april 2000
Johan Berger	1981
A.L.M. Arnolds	1996
C.J. Kelk	25 december 1981
H.W.J.M. Keuls	29 oktober 1968
H.J.M.F. Lodewick	19 maart 1995
Ab Visser	9 mei 1982
Hubert Janssen	26 december 1984
Jacques Idserda	14 februari 2007
J. van Delden	21 juli 2006
F.J.J. Buitendijk	1974
P.H. van der Kemp	1921
Otto Dijk	13 maart 2004
Otto van Eck	1798
Max Prick van Wely	2000
Anton van der Vet	1997
Peter Crassaerts	
R.J. Valkhoff	1971
J.J. Nieuwburg	
H. de Vries	
W.J.C. van Hasselt	2 maart 1864
Nicolaas Beets	13 maart 1903
Jan Pieter Heije	24 februari 1876
Hendrik Engelinus Weijers	31 maart 1844
J. Ackersdijck	13 juni 1861
E.J. Potgieter	3 februari 1875
Jacob Pieter van Walrée	22 januari 1849
S.J. van den Bergh	24 december 1868
J.P. Arend	5 oktober 1855
Herman Pol	5 mei 1845
A.L.G. Bosboom-Toussaint	13 april 1886
Willem Gerard Brill	19 januari 1896
Joël Emanuel Goudsmit	17 maart 1882
S. de Visser S.zoon	
J.I.D. Nepveu	16 maart 1887
L.Ph.C. van den Bergh	17 september 1887
Johannes Gerardus la Lau	10 augustus 1857
J.J.A. Goeverneur	18 maart 1889
Conradus Leemans	14 oktober 1893
Jan van der Hoeven	10 maart 1868
Cornelis Star Numan	9 mei 1857
Montanus de Haan Hettema	18 december 1873
Taco Roorda	5 mei 1874
John Bake	26 maart 1864
Johan de Wal	7 februari 1892
Jacob Geel	11 november 1862
André van Hasselt	1 december 1874
J.F. Oltmans	29 januari 1854
A.L. Lesturgeon	18 juni 1878
Willem Ernst Johan Berg	24 juni 1888
Hendrik Jan Nassau	8 november 1873
Wopke Eekhoff	12 februari 1880
H.F. Cohen	
Henricus Bernardus Martini van Geffen	
Petrus de Raadt	18 april 1862
Leigh Hunt	1859
Willem Moll	16 augustus 1879
P.J. Veth	14 april 1895
Johan Rudolph Thorbecke	4 juni 1872
Hendrik Chistiaan Millies	26 november 1868
Adriaan Beeloo	4 oktober 1878
A.W. Engelen	28 januari 1890
Bartholomeus Philippus de Kanter	4 april 1865
Levy Ali Cohen	22 november 1889
W.J.A. Jonckbloet	19 oktober 1885
J. van Vloten	21 september 1883
W.C.L. Clarisse	25 december 1845
R.C. Bakhuizen van den Brink	15 juli 1865
Henry Wadsworth Longfellow	1882
Joost Hiddes Halbertsma	27 februari 1869
R.P.A. Dozy	29 april 1883
P.T. Helvetius van den Bergh	10 oktober 1873
Friedrich Kaiser	28 juli 1872
George Willem Vreede	29 juni 1880
J. van Geuns	5 december 1880
Jan Gerhardus Ottema	19 maart 1879
Gerrit de Clercq	21 oktober 1857
Johannes Kneppelhout	8 november 1885
C.J. van Assen	13 september 1859
Gerardus Arnoldus Nicolaus Allebé	18 juli 1892
C.W. Opzoomer	23 augustus 1892
Johannes Aletta Marinus Mensinga	6 augustus 1898
Abraham des Amorie van der Hoeven jr.	20 maart 1848
S. Vissering	21 augustus 1888
Martinus des Amorie van der Hoeven	13 oktober 1868
Dionys Burger	31 oktober 1891
Carl Ludwig Blume	3 februari 1862
Willem Louis de Sturler	1879
Willem Leonard Ritter	15 februari 1862
C.H.D. Buys Ballot	3 februari 1890
Jacobus Izaäk Doedes	19 december 1897
Jacob Dirks	25 november 1892
F.C. Donders	24 maart 1889
Jan van Gilse	24 mei 1859
Johannes ab Utrecht Dresselhuis	23 augustus 1861
Georges Declercq	
Jacques François Bosdijk	26 februari 1850
A.J. de Bull	25 september 1888
Isaäc da Costa	28 april 1860
M.M. von Baumhauer	6 februari 1878
T.W.J. Juynboll	16 september 1861
G.E. Voorhelm Schneevoogt	17 augustus 1871
Henry Riehm	6 november 1852
P. Halbertsma	24 augustus 1852
Willem Jan Knoop	24 januari 1894
Joannes Jacobus de Hollander	5 november 1886
T.K.M. von Baumhauer	24 september 1900
E. Piaget	1910
D.D. Büchler	1881
Willem Richard Boer	24 oktober 1894
E.W. Beth	12 april 1964
J.J. Viotta	6 februari 1859
P.A. de Génestet	2 juli 1861
J.J. Rovère van Breugel	1861
Dirk Harting	22 februari 1892
J.C.G. Evers	28 januari 1886
Carel Adriaan Engelbregt	17 juli 1890
Jan Heemskerk Bzn.	17 december 1880
E.B. Swalue	12 maart 1865
Antonie Niermeyer	10 april 1855
G. Knoop	
Christiaan Lodewijk Schuller tot Peursum	1 april 1860
J. Pijnappel	14 september 1901
J.A. Alberdingk Thijm	17 maart 1889
David Bierens de Haan	12 augustus 1895
Salomon Müller	
A.V. Michiels	25 mei 1849
P.W. Korthals	8 februari 1892
W.R. van Hoëvell	10 februari 1879
Pieter Leendertz Wz.	10 september 1880
Mark Prager Lindo	9 maart 1877
Jacob van Lennep	25 augustus 1868
Jan Heemskerk Azn.	9 oktober 1897
A.C. Oudemans	1 oktober 1874
Johannes Zeeman	21 november 1905
Lodewijk Willem van Deventer	1898
Jakob Karel Willem Quarles van Ufford	9 maart 1902
C.A.J.A. Oudemans	29 augustus 1906
Hendrik Jan Spijker	8 maart 1870
Johan Carl Zimmerman	30 september 1888
H.J. Schimmel	15 november 1906
H.J. van der Helm	
Jacob Leonard de Bruyn Kops	1 oktober 1887
Jacob de Witte van Citters	3 oktober 1876
Ernst Julius Kiehl	26 november 1873
J.T. Buys	14 mei 1893
P.A.S. van Limburg Brouwer	13 februari 1873
