Author	DOD
Christoffel Verwey	1956
G.A. Nauta	
A.A. Bake	8 oktober 1963
Richard Minne	1 juni 1965
Han G. Hoekstra	15 april 1988
Jaap van Gelderen	1943
W.L. de Vreese	10 januari 1938
Anny C.A. Alberdingk Thijm	
H.N. ter Veen	1949
J.A. Pollones	1975
J. Wolterbeek Muller	
Gerrit Besselaar	15 januari 1947
Gabe van der Zee	12 januari 1961
Wilhelmina Smit-van de Wall	
J.C.M. Warnsinck	21 juli 1943
N. Levi	
D. Cohen	3 september 1967
R.F. Beerling	29 november 1979
Jaap Kunst	7 december 1960
L. Kappeyne van de Coppello-Wijgers	
A. Feberwee	28 november 1947
Leo Plemp van Duiveland	19 september 1979
H.Th. de Booy	16 januari 1976
C.W. Roldanus	7 maart 1972
J.B. Besançon	12 december 1943
Barend ter Haar Bzn.	27 april 1902
Jacoba Eggink	1997
C. Weststrate	augustus 1961
Douwe Kalma	18 oktober 1953
André De Weerdt	8 november 1893
G.W.J. Drewes	7 juni 1992
Dirk Wiersma	4 oktober 1981
Henri Houben	
L.K. Wolff	
B. Vechtman	
Hugo de Groot	28 augustus 1645
Emile Verviers	1968
Gerrit Kamphuis	25 april 1998
A.N.J. den Hollander	1976
M.R.J. Brinkgreve	17 juli 1965
J.H. Pluvier	
P.C. Molhuysen	15 juli 1944
D.J.H. ter Horst	
A.H. Philipse	
Paul Cronheim	18 mei 1975
K.S. van Heynsbergen	
Kees van Bruggen	19 september 1960
Garmt Stuiveling	11 mei 1985
Pieter Jan Bouman	10 maart 1977
A.W. de Groot	14 december 1963
Klaas Heeringa	december 1944
R.J. Kortmulder	
Anton Koolhaas	16 december 1992
Homerus	
J.J. von Schmid	
K.F.O. James	
A. Hendriks-Kappelhoff	15 december 1960
Ed Coenraads	21 juni 1936
Tine Brinkgreve-Wicherink	13 april 1936
Gerlach Royen	4 februari 1955
B.M. Telders	6 april 1945
Hermanus Arnoldus Idema	16 maart 1787
B.A. van Groningen	1 maart 1987
Ar. Kwink	
P.J. van Winter	6 maart 1990
H.A.C. Snethlage	
Marion Duimel	
J.H. Scholte	1959
J. Steur	
A. Jager	
Sofia Antoniadis	25 januari 1972
Edgar Allan Poe	7 oktober 1849
J.G. van Dillen	26 decembe 1969
Theodorus Ligthart	20ste eeuw
Jan Daman	19 december 1968
Gs. Finjee	1773
Erik Hörnström	
M.H. Székely-Lulofs	22 mei 1958
G. van der Leeuw	18 november 1950
Aleksej Hackel	6 maart 1951
E.H. ter Kuile	1988
F.W.S. van Thienen	1969
Jan Hulsker	9 november 2002
H. Hettema jr.	1962
C.D.J. Brandt	13 september 1966
H.J. de Vleeschauwer	15 augustus 1986
J.F. Haccoû	
J.J. Gielen	6 augustus 1981
G. Knuttel Wzn	6 mei 1968
A.J. Bernet Kempers	2 mei 1992
W.F. Prins	1984
Hajo Brugmans	6 december 1939
Chr. Cornelissen	21 januari 1942
Maurits Sabbe	12 februari 1938
W.J. Aalders	maart 1945
Ph.J. Idenburg	29 december 1995
Marie van Dessel-Poot	29 mei 1958
Johannes Rahder	3 maart 1988
Uys Krige	1987
J.R. van Blom	
Truus Gerhardt	13 februari 1960
G. Knuttel jr.	22 februari 1961
Jan Willem Meyer Ranneft	3 februari 1968
Frans Buyle	22 februari 1977
F.W. Prins	
Hermann Goetz	
Eline Canter Cremers-van der Does	25 september 1996
H.N. Boon	1 mei 1991
T. van der Zee	
Hendrik Riemens	
H. van der Tuin	1981
J.J. Schrieke	1976
Maurits Uyldert	29 september 1966
Arnoldus Noach	
Dirk Bartling	15 maart 1966
J.F. Niermeyer	1965
Eduard Reeser	29 november 2002
D.F.W. van Lennep	
J.N. Bakhuizen van den Brink	5 november 1987
Lode Zielens	28 november 1944
F.L. Ganshof	26 juli 1980
Johan Wesseling	
F.S. Knipscheer	1955
C.J. van Geel	1945
P. Lascaris	
A.F. Zwaardemaker	
J.P. Wiersma	13 februari 1973
Herman Dirk van Broekhuizen	5 augustus 1953
Willem Johannes Leyds	mei 1940
S. Posthuma	1991
Stephan Ronart	
G.S. Overdiep	12 december 1944
J.H. Boeke	9 januari 1956
C.F. Roos	19de eeuw
Johan Theunisz	16 april 1979
P.W. Kamphuisen	
H. Drion	20 april 2004
C.H. de Goeje	1955
A.L. Wurfbain	
J. Molemans	1994
G. Bolkestein	8 september 1956
A. Hollenberg	
F.M.P. Oosterhof	3 januari 1961
W. Arondéus	1 juli 1943
George Lodewijk Schorer	
Jan Willem Berkelbach van der Sprenkel	9 december 1944
Wim van de Woestijne	
Jan Spoelstra	
William Shakespeare	23 april 1616
H.J.F.W. Brugmans	21 februari 1961
K. R. Gallas	8 mei 1956
Nicolaas Johannes Cornelis Marie Kappeyne van de Coppello	
C.C. van de Graft	3 augustus 1969
A.G.A. van Rappard	1 april 1869
Waldie van Eck	10 juni 1968
K. Posthumus	1972
F.W.A. Korff	14 oktober 1942
M.J. Langeveld	15 december 1989
Willy Dols	5 november 1944
P.J. Waardenburg	1979
C.F.A. van Dam	25 januari 1972
A.C. Verbeek	
Leonhard Huizinga	9 juni 1980
N.E.M. Pareau	2 december 1981
Ferdinand Langen	20 juli 2016
S.M. Noach	1944
H. Kraemer	11 november 1965
J. Patijn	
K. Strijd	1983
D.T. Spronk	
P.A.H. de Boer	5 augustus 1989
C.F. Meyer	28 november 1898
Ida Gerhardt	15 augustus 1997
Andreas Glotzbach	1981
A.H. Nijhoff	22 mei 1971
Henk Vastenouw	
G.H. Blanken	12 oktober 1986
Dirk Schoute	6 december 1953
Maurice Roelants	25 april 1966
H.J.E. Endepols	18 juni 1962
P.W.J. Steinz	1971
Christina Kroes-Ligtenberg	12 december 1965
A.J. van Soest	1989
H.C. Rümke	22 mei 1967
Koos Schuur	1 december 1995
E. Cantillon	14 december 1942
Jan Barents	19 mei 1961
Theo van Baaren	4 mei 1989
W. Wiersma	
J.C.H. de Pater	6 augustus 1971
A.J. Jansen	
Th.H.J. van Huet	
Karel Kuypers	1986
J. Buffin	
B.A. Vermaseren	1989
Hein de Bruin	10 juni 1947
Elizabeth Barrett Browning	29 juni 1861
K. ter Laan	6 maart 1963
Horatius	27 november 8 v.Chr.
Elisabeth Cheixaou	17 juli 1997
F.K.H. Kossmann	31 maart 1968
K.H. Heeroma	21 november 1972
H.J. Pos	25 september 1955
J.E. de Haas	
Marie Ramondt	3 augustus 1963
H.J. van Tienhoven	1990
J.G. Delfgaauw	
G. Révész	19 augustus 1955
O. Bottema	30 november 1992
Daan Zonderland	5 augustus 1977
F. Lulofs	21 juli 2003
W.Ph. Coolhaas	12 april 1981
Johanna K. Oudendijk	1987
N.E.H. van Esveld	30 augustus 1976
Jan Waterink	29 november 1966
Guus Dijkhuizen	
A.A. Verdenius	18 oktober 1950
Jorge Manrique	1479
G. le Maire	1 juni 1986
H.P. van den Aardweg	4 juli 1971
Jan Hendrik Jongkees	4 maart 1967
Herman Johannes Lam	
H. Wagenvoort	1926
Willem van Reymerswael	1984
G. van Iterson Jr.	1972
O. Noordenbos	24 juni 1978
G.J.H. Kuyk	
Frank Onnen	1989
Leo Verdievel	15 september 1998
F. Ph. Groeneveld	
G.M. van der Plank	
W.J.W. Koster	1986
W. Rip	1959
A.J. Kluyver	14 mei 1956
Clara Stuyver	
Jan Smit	1957
E.E. Pot	
E. Horbach	
J.V. Rijpperda Wierdsma	19 februari 1981
J.H. Brouwer	22 januari 1981
C.W. de Vries	1967
Jacobus Schuurmans Stekhoven	ca. 1850
Th.H. Lunsingh Scheurleer	22 augustus 2002
Eva E. Gerretsen	
R.P. Cleveringa	15 december 1980
H. Plessner	12 juni 1985
G. Milius	
J.D.M. Cornelissen	5 augustus 1947
H. Engel	12 april 1981
Nel Veerman	2002
J. Hoogendoorn	
Hubert Lampo	12 juli 2006
I.J.M. van den Berg	1977
A.G.M. van Melsen	1994
Alfred de Musset	2 mei 1857
R. van Luttervelt	19 februari 1963
C.W. Sangster-Warnaars	
M.C. van der Werff	
Jan Klein	
E. Smedes	29 september 1975
W. Gerdes	
Ph. Kohnstamm	31 december 1951
M.F. Mörzer Bruyns	2004
J. Delden	16de eeuw
G.F.W. van Berckel	20ste eeuw
F. Oudschans Dentz	19 juli 1961
August Henkels	1975
Abraham Schierbeek	30 augustus 1974
A.E. Rosendahl Huber	10 januari 2002
Martin Permys	23 juli 1960
Johanna de Jongh	25 november 1946
J. de Kanter	
K.F. Proost	1962
L. Aletrino	13 april 1970
T.P. Sevensma	30 juni 1966
H. Gerversman	5 oktober 1950
J.M. Kramer	
L.C.T. Bigot	1 december 1951
L. van den Ham	
Sergei Smirnov	
Johan Daisne	9 augustus 1978
I.A. Bunin	8 november 1953
Dmitrij Sergeevic Merezjkovskij	1941
J.H. Thiel	19 mei 1974
J. Keuning	1957
G.L. Muskens	6 juli 1974
G.W. Jongens	20ste eeuw
A. van Velsen	1961
Willem van Everdingen	20ste eeuw
Maria Hartgerink-Koomans	
A.M. van der Giezen	
Frouwien van der Vooren-Kuyper	1978
Herman Meyer	16 mei 1959
E.J.E. Huffer	20ste eeuw
J. Kruseman	1949
J.E. Verschaffelt	20ste eeuw
H.F.W.D. Fischer	12 augustus 1964
C. Visser	20ste eeuw
Henk Breuker	6 februari 1999
L.M.Fr. Daniëls	8 december 1951
G.H. 's- Gravesande	2 juli 1965
P. Brommer	1982
H.E. Enthoven	27 december 1950
W.L. Haardt	26 oktober 2013
W. Vloedgraven-Stuyver	13 februari 1955
R.A.V. van Haersolte	2002
Michel van der Plas	21 juli 2013
Eduard Verkade	11 februari 1961
Jan Gonda	1991
Sjoerd Leiker	15 december 1988
W. Lubberink	29 juni 1972
L.C. Michels	20 juni 1984
A.A. Weijnen	9 februari 2008
J. Bax	
J.C.J. Kleijntjens	10 november 1950
J.M. Sterken	
Lou Vleugelhof	
Tue Gad	16 juli 2001
S.A.M. Bottenheim	1 januari 1957
B. Faddegon	28 juni 1955
Marc Rozelaar	
Alexander Sizoo	12 november 1961
J. Peters	4 oktober 1961
R.F. Scheltema de Heere	1970
A.A. van Rijnbach	21 juli 1953
L.J. Rogier	30 maart 1974
C.A.O. van Nieuwenhuijze	
Mies Bouhuys	30 juni 2008
Willem den Boer	16 februari 1993
J.R. Thorbecke	
L.W.G. Scholten	2 januari 1969
Marinus van der Goes van Naters	2005
Bas van Gelder	26 maart 1993
A. Bicker Caarten	1990
P.J. Enk	17 februari 1963
H. van de Waal	7 mei 1972
M. van der Plas	
P. Krug	1999
Johannes van Melle	8 november 1953
J.H.W. Verzijl	21 mei 1987
Nicholas G. Lély	1959
Jan C. M. Leijten	mei 2014
J.W. Bosch	12 maart 2001
J.A. Bierens de Haan	13 juni 1958
Amoene van Haersolte	1 augustus 1952
H.A. Enklaar	27 oktober 1956
Arnold van Praag	1965
A.M. Chamalaun	1979
Henri A. Ett	6 oktober 1982
Aede van Eysinga	2 juni 1619
A. Kleijn	1997
J.L.F. van Essen	november 1962
J. de Graaf	24 april 1991
Th.C. van Stockum	22 februari 1969
Léon Polak	
Carl Mennicke	15 november 1958
Henri Overhoff	2000
M. de Vroede	8 januari 2002
J. Eggens jr.	1997
A.V.N. van Woerden	
Johan Tersteeg	8 juni 1953
Maarten Schneider	25 april 1998
B.L. van der Waerden	
L.C. van Panhuys	1949
Fanny de Jong	1978
Paul A.G. Dibon	7 maart 1995
Manuel van Loggem	1998
Jaap Romijn	22 mei 1986
Alb. de la Court	1975
Bert Voeten	26 december 1992
Julien Benda	7 juni 1956
Nico Verhoeven	3 februari 1974
Sj. Groenman	2000
Wouter Nijhoff	11 januari 1947
Th.M. Metz	
Henriëtte Schuurbeque Boeye	5 november 1975
Hanny Michaelis	11 juni 2007
Carel Swinkels	23 oktober 1996
L.Th. Lehmann	23 december 2012
J. van IJzeren	
Simon Vinkenoog	12 juli 2009
C.H. Telders	18 oktober 1990
J. Milius	
W.L.M.E. van Leeuwen	21 maart 1974
T.S. Eliot	4 januari 1965
Charles B. Timmer	1 januari 1991
Hans Warren	19 december 2001
M. Klaassen	
Dj. Adinegoro	8 januari 1967
Pierre H. Dubois	24 maart 1999
Bertus van Lier	14 februari 1972
F.W. Zeylmans van Emmichoven	18 november 1961
Hans Bendien	
John Vandenbergh	1986
Truman Capote	25 augustus 1984
Edward Arlington Robinson	1935
Carl Sandburg	1967
Jan G. Elburg	13 augustus 1992
Horace Gregory	11 maart 1982
Charles-Henry Ford	27 september 2002
Kenneth Patchen	1972
Thomas McGrath	20 september 1990
Gerrit Kouwenaar	4 september 2014
Robert Hayden	1980
Rosey E. Pool	1971
Zack Gilbert	1983?
Annetje Reens-Neufeld	
Frederick Franck	5 juni 2006
Casper Höweler	1969
E.G. Marshall	24 augustus 1998
Anna Blaman	13 juli 1960
Jan Spierdijk	1997
Jan Lincklaan Westenberg	6 mei 1841
Hendr. Ad. Warmelink	11 november 1959
Mea Verwey	24 december 1978
Harry Brander	1980
Laurens Welagen	
Barend Rijdes	10 juli 1975
G.J. de Vries	7 oktober 1990
Maurits de Meyer	24 november 1970
Nes Tergast	12 december 1974
Jan Sebastian Rabie	2001
Ernst Denny Hirsch Ballin	15 maart 1975
Dola de Jong	12 november 2003
Dolf Verspoor	3 december 1994
Rivai Apin	
J.C. Brandt Corstius	3 december 1985
W. Nienaber-Luitingh	
A.C.M. Kurpershoek-Scherft	25 januari 1999
D.G. van Vreumingen	
Hans Lodeizen	26 juli 1950
Lucebert	10 mei 1994
Gerard Diels	19 oktober 1956
Theo J. van der Wal	24 juli 1984
Josine Reuling	21 oktober 1961
H.E. Greve	24 december 1957
J.C.A. Fetter	24 juni 1959
Christine D'haen	3 september 2009
W.J. van der Molen	maart 2002
Tom Eekman	9 juni 2012
G.J. van der Woude	
Carlo (graaf) Sforza	4 september 1952
Giacomo Leopardi	1837
A.H. Luijdjens	1991
Enrico Nencioni	25 augustus 1896
Gabriele d' Annunzio	1 maart 1938
Goffredo Bellonci	31 augustus 1964
G.A. Bouwman-Pot	
Vitaliano Brancati	25 september 1954
Antonio Baldini	6 november 1962
Bruno Zevi	2000
Umberto Saba	25 augustus 1957
Giulio Carlo Argan	12 november 1992
Corrado Govoni	1965
Lionello Venturi	1961
Silvio d' Amico	1 april 1955
Eugenio Montale	12 september 1981
Mario Verdone	26 juni 2009
Massimo Mila	1988
Emilio Lavagnino	12 april 1963
Hugo Claus	19 maart 2008
Fred Polak	1985
David Scheinert	1996
H. de la Fontaine Verwey	17 december 1989
J.G. van der Ploeg	13 december 1986
A. Kessen	12 juni 1960
J.Th. Spaan	19de eeuw
Charles Baudelaire	31 augustus 1867
Gerben Colmjon	25 december 1972
Barend de Goede	1995
D.Th. Enklaar	6 maart 1962
Maria Dermoût	27 juni 1962
H.W.J. Kroes	3 mei 1962
J.A. Rispens	27 maart 1962
W.A.F. Stokhuyzen	14 oktober 1979
H.I. Keus	
Marius Wilhelm Holtrop	1988
W.R. Heere	23 juni 1969
J.P. van Praag	1981
H.C. van de Hulst	2000
A.D. de Groot	13 augustus 2006
Jan Peters	17de eeuw
C.A.R. Graamans	
J.J. Vriend	1974
Charles Wentinck	
W. Drees	14 mei 1988
Leo van Egeraat	30 juli 1991
G.J. de Grooth	
A. van Lennep	
Remco Campert	
Jan de Jong	
J.H.J. van der Pot	21 juli 1999
Maps Valk	
H. Wielek	7 september 1988
G.W. Wolthuis	1963
A.A.M. Horsting-Boerma	1953
William Faulkner	6 juli 1962
Justus Meyer	30 augustus 1958
Ch.G. Matser	5 februari 1973
W.J. de Haas	24 juni 1899
H.B.G. Casimir	4 mei 2000
J.E. de Vos van Steenwijk	16 juli 1978
P.O.F.M. Cremers	10 oktober 1983
W.A. Braasem	12 april 1987
F.G.L. van der Meer	1994
Cola Debrot	2 december 1981
W.Gs Hellinga	16 maart 1985
Guillaume van der Graft	21 november 2010
Julien Jozef Kuypers	16 november 1967
Hendrik Jan Reinink	19 januari 1979
K.H.R. de Josselin de Jong	25 november 1991
Ad den Besten	31 maart 2015
Pier Westra	24 juli 1956
Harry Mulisch	30 oktober 2010
M.J. Francken	
Charles Webster	augustus 1961
J. Vaissier	2004
Ernest Barker	17 februari 1960
William A. Robson	12 mei 1980
Oscar R. Hobson	1961
William Wilson	20ste eeuw
Thomas Hardy	1928
Dylan Thomas	9 november 1953
Max Schuchart	25 februari 2005
Doris Lessing	17 november 2013
Reyner Banham	19 maart 1988
J. Kröner	1997
Robert Melville	
Marius Flothuis	13 november 2001
C. Nicolaï	2000
Charles Boost	1 januari 1990
F. Bender	1998
J.H. Huizinga	1 maart 1994
H.H.J. de Leeuwe	2 oktober 2006
Leo Herberghs	11 mei 2019
A.C. Niemeyer	2000
J. Petri	20ste eeuw
Herman van den Bergh	1 augustus 1967
Henri Wiessing	16 maart 1961
David Koning	24 februari 1971
Adriaan van der Veen	7 maart 2003
Harriët Laurey	25 juli 2004
J.H. Kernkamp	10 oktober 1980
G.H.M. van Huet	27 december 1975
Alfred Kossmann	27 juni 1998
Anton Kloppers	23 december 1974
Arthur Lehning	1 januari 2000
J.G. de Beus	23 juni 1991
A. Graafhuis	
Jan Wit	26 augustus 1980
A. Alberts	16 december 1995
J.W. Schulte Nordholt	16 augustus 1995
Bernard Vlekke	3 juli 1970
W.H. Somermeyer	
E.W. Hofstee	1987
W.H.C. Tenhaeff	
Leo Vroman	22 februari 2014
L.P.J. Braat	1982
Josepha Mendels	10 september 1995
Jan Vermeulen	10 april 1985
B.W. Schaper	16 juli 1991
Yge Foppema	2 december 1993
Jacques den Haan	22 november 1982
C. Vermeer	
Cornelis Rijnsdorp	12 februari 1982
J.J. Beljon	12 december 2002
Christiaan Terpstra	1 februari 1971
Michaël Deak	
J.B. Charles	29 juli 1983
Ido Keekstra	27 november 1965
Rie Cramer	18 juli 1977
J.H. Plokker	9 mei 1976
Nico Rost	1 februari 1967
August Defresne	2 april 1961
Bert Schierbeek	9 juni 1996
Marga Minco	
Nico Wijnen	4 februari 1998
Jan Meulenbelt	4 november 2011
Abel J. Herzberg	19 mei 1989
E.A.A. Vermeer	1996
P.J. Arisz	
Maarten Mourik	30 september 2002
K. Lekkerkerker	28 augustus 2006
Hafis	ca. 1390
C. Bittremieux	23 april 2003
Adriaan Morriën	7 juni 2002
Liane Bruylants	27 maart 2009
J.H. Schouten	
Henk Romijn Meijer	23 februari 2008
M. Vasalis	16 oktober 1998
J. Valentin	
W.F. Dankbaar	15 januari 2001
Magda Révész-Alexander	
Evert Werkman	1988
Rein Blijstra	10 augustus 1975
Reinder P. Meijer	29 september 1993
Klaas Wiersma	1993
Elsa Frank	
Louis Saalborn	18 juni 1957
Ary den Hertog	17 december 1958
Ben Stroman	18 april 1985
Mary Dresselhuys	2004
Jan Willem Hofstra	30 maart 1991
B. Hunningher	1991
Jan Walravens	25 juni 1965
W.P. Pos	4 januari 1977
Luisa Treves	21 oktober 2015
E. Elias	14 januari 1967
Wim Vesseur	
A. Pitlo	23 maart 1987
Luc Lutz	16 november 2001
G.A.M. Eickholt	
Tjalie Robinson	22 april 1974
Léon de Greiff	11 juli 1976
Elizabeth da Costa Gomez	
J.J.A. Mooij	
A. Teeuw	18 mei 2012
C.L.W. Fock	9 juli 1999
Pieter S. Gerbrandy	1961
Rob Nieuwenhuys	7 november 1999
J.D. Meerwaldt	4 juli 1966
James S. (Jim) Holmes	6 november 1986
Dirk Volker Nijland	1985
Max Croiset	7 april 1993
Cees Nooteboom	
M.H.J. Verjans	
Nel Noordzij	7 september 2003
G. Quispel	2 maart 2006
Lies Wolters	
Bernhard prins der Nederlanden	1 december 2004
Fernán Silva Valdés	1975
J.A. van Praag	30 oktober 1969
Pablo Neruda	23 september 1973
Ventura García Calderón	27 oktober 1959
José Gorostiza	1973
A. Methöfer	
Rufino Blanco Fombona	17 oktober 1944
Joaquín E. Weiss y Sánchez	1968
Menotti del Picchia	23 augustus 1988
Martha de Castro	
W.H. van Helsdingen	3 november 1985
A.I. Spits	
E.P.M. Tervooren	
A. Jonkers	
R.A.J. van Lier	28 mei 1987
J. van de Walle	6 juni 2000
Henk Dennert	
W.J. Jansen	
Frans Debrabandere	
E.H. Kossmann	8 november 2003
Piet Apol	29 maart 1957
Th. Govaart	16 januari 2013
J.M. de Jong	12 oktober 1968
Franz Hellens	3 februari 1972
Marcel Coole	11 februari 2000
Bert van Aerschot	november 2001
Paul Snoek	19 oktober 1981
Elisabeth Eybers	1 december 2007
Willem Elsschot	31 mei 1960
J. Bruyn	
Reindert Jacobsen	1962
E.M. Janssen Perio	9 september 2009
Ary Delen	17 juni 1960
Gerrit-Hugo Pronk	
Aleida Gerarda Schot	8 juni 1969
Willem van Elden	1983
Antonio Machado	1939
Martin Adán	1985
Manuel Bandeira	13 oktober 1968
Augusto Roa Bastos	26 april 2005
Carlos Drummond de Andrade	17 augustus 1987
Cecília Meireles	9 november 1964
José-Maria de Heredia	2 oktober 1905
Jules Supervielle	17 mei 1960
Erik Lindegren	31 mei 1968
Amy van Marken	15 juni 1995
Artur Lundkvist	11 december 1991
Edith Södergran	24 juni 1923
August von Platen	1835
Attila József	
Sándor Weöres	
David Rokeah	1985
Pham Van Ky	
Makhali-Phal	1965
Pierre Brachin	2004
Waring Cuney	30 juni 1976
Leslie M. Collins	23 februari 2014
Owen Dodson	21 juni 1983
Don Maquis	
Charles Causley	4 november 2003
S.A. Bonebakker	19 november 2005
Ed. de Jonghe	1950
Pieter Lieftinck	1989
J. Prins	1995
Egbert Krispyn	
A. van der Schalk	
Charley Toorop	5 november 1955
J.H. Leopold	21 juni 1925
John Rädecker	12 januari 1956
Evert Straat	1972
Paul Rodenko	9 juni 1976
S. de Danser	1610
Claudine Witsen Elias	1987
Dick Voerman	1967
Li Tai Po	762
Wang-seng-yoe	
Tu Fu	770
Su Tung po	1101
Gerrit Borgers	15 januari 1987
Cenne de la Chitarra	1336
G.J. Resink	4 september 1997
B.M. Baxter	
J.H. Loenen	
Chr.J. van Geel	8 maart 1974
Heere Heeresma	26 juni 2011
Beb Vuyk	24 augustus 1991
J.L. Heldring	27 april 2013
W. Banning	7 januari 1971
S. Dresden	6 mei 2002
Henri Schadee	1995
L.G. Kortenhorst	1963
P.M. Boer-den Hoed	28 januari 1973
L.J. Hartog	
Fred Pfeifer	2000
Theo Joekes	16 maart 1999
Martien J.G. de Jong	
Victor Varangot	1992
S.F. Witstein	11 juli 1978
Ton van Oudwijk	5 november 1990
Wilfred Smit	13 augustus 1972
Saskia Ferwerda	29 januari 1984
Catharina Kortebos	
Th.G. Sinnige	30 november 2005
J.G.M. Moormann	5 augustus 1974
Piet Calis	
Catharina van der Linden	26 december 2002
Walter Debrock	juli 1996
B.H.D. Hermesdorf	3 november 1978
C.J.E. Dinaux	25 juni 1980
Victor Spoor	
C.P. Gunning	1960
Corly Verlooghen	
Louise van Santen	19 september 2014
Jan F. de Zanger	14 januari 1991
Roger Pieters	1992
F. van der Blij	
S. Carmiggelt	30 november 1987
Claude Korban	
C.J. Greshoff	2007
A. Middeldorp	12 februari 2010
Fokke Sierksma	22 augustus 1977
Jaap Harten	2 december 2017
Mia van der Haegen	
Marcel Leemans	
Marcel van de Velde	24 oktober 1964
Lode de Visscher	
C.O. Jellema	19 maart 2003
B. Nieskens-Isphording	
Ivo Schöffer	13 januari 2012
R.J. Forbes	13 januari 1973
Paul de Wispelaere	2 december 2016
Wim Hijmans	1980
P. Gros	
Nanne van der Zijpp	22 januari 1965
J.I.S. Zonneveld	3 juni 1995
Eddy de Vries	
Paul R. Rijkens	
A. Schaafsma	
B.J. van Eyk	15 oktober 1972
J.M.J. Kooy	1983
H.F. van Panhuys	1976
Maarten Rooij	7 januari 1986
H. Nieuwenhuis	
J. Kassies	1995
Hella S. Haasse	29 september 2011
Arie Querido	1983
J. Droogleever Fortuyn	10 januari 1999
M. Gruber	12 november 1990
Nol Gregoor	15 mei 2000
H.W.F. Stellwag	18 maart 1996
H.P.H. Jansen	9 juni 1985
H. van Riessen	2000
Henri Sandberg	1983
Jan Wolkers	19 oktober 2007
Max Nord	28 februari 2008
K. Schippers	
Jacques Hamelink	
B.V.A. Röling	1985
A.L. Constandse	23 maart 1985
C.A. Zaalberg	3 april 2004
Francisco Carrasquer	7 augustus 2012
Tom Kerber	
A.J. Dekker	
James Brockway	15 december 2000
M.D. Ozinga	21 mei 1968
Karel De Clerck	
Willem van Toorn	
Lizzy Sara May	13 november 1988
François Meyer	
H.A. Combé	
Marcus de Jong	1969
Tj.S. Visser	27 november 1991
V.W.D. Schenk	30 juni 1989
F.J.F.M. Duynstee	1981
G.A. van Poelje	7 september 1976
H. Leffelaar	december 1980
Jan Aler	1992
Martin J. Klein	2009
Burny Every	2006
Erik Vos	
E. Eijkemans	1964
Han Lammers	2000
Marko Fondse	24 augustus 1999
Ger Harmsen	2005
L.H. Janssen	2009
Jakobus Kloek	
F.E. Frenkel	2006
Ewald Vanvugt	
C.B. Vaandrager	18 maart 1992
Felipe M. Lorda Alaiz	1992
A. Kramer	
K. Rijsdorp	
P. Hummelen	
G. Puchinger	15 september 1999
H. van der Linde	2008
Albert Besnard	1 oktober 1966
W. Boswinkel	25 maart 1984
J. Brugman	september 2004
Floris Evers	
Hendrik van Teylingen	25 december 1998
W. Gortzak	26 september 2014
Carl Friedrich von Weizsäcker	2007
Jan Hanlo	16 juni 1969
O.M. de Vaal	12 juni 1993
David Maarschalk	13 april 1886
Joris Diels	1992
Bertram Joseph	
Ben Jonson	1637
John Milton	1674
N. Brugman-Begemann	
Samuel Johnson	1784
Coenraad van Emde Boas	27 september 1981
Neeltje Maria Min	
J.A.G. Tans	20 november 1992
H.C.J. Duijker	24 april 1983
Ton Lathouwers	
A.M. Meerloo	1976
Huug Kaleis	6 november 1989
D.U. Stikker	23 december 1979
S.C. Derksen	1988
Michaël Slory	19 december 2018
H.J.A. Hofland	21 juni 2016
Frits Kief	1976
Nico Scheepmaker	5 april 1990
Reinbert de Leeuw	
F.B. Löhnis	7 augustus 1927
Abram de Swaan	
Henk Sneevliet	12 april 1942
Wim Klinkenberg	1995
Sem Davids	31 oktober 1969
J.W. Holsbergen	20 mei 1995
Henk van Kerkwijk	
Bob den Uyl	14 februari 1992
Herman Gorter	15 september 1927
Hans Keller	
Helen Knopper	
H.M. Voetelink	6 augustus 2007
R. Roegholt	2 maart 2005
Peter van Lieshout	
J.H. Donner	27 november 1988
Wim Zaal	
Mark Insingel	
Eldert Willems	30 augustus 2012
B.J. Fris	2005
Rommert Boonstra	
Willem Frederik Hermans	27 april 1995
Harry Mesterom	
Marianne Meester	
Sonja Prins	15 januari 2009
J.H. Mak	
Martin Hartkamp	
H.C. ten Berge	
Henry Faas	5 september 1990
Benno J. Stokvis	1977
Frank Diamand	
Arnold de Vos	
Paul Steenhauer	
G. van Benthem van den Bergh	
Hans Vlek	15 juli 2016
Cees de Jong	
H.A. Gomperts	18 september 1998
Johan de Meester jr.	18 maart 1986
A.J. Westerman Holstijn	
Joop den Uyl	24 december 1987
Daniel de Lange	
J. Sperna Weiland	1 september 2011
J.W. Hingst	1988
Henriette van Duin	
Paulien Selter	
Alette Beaujon	3 juli 2001
Simon Koster	1989
Judith Herzberg	
Frits Dekking	2 september 2004
Milo Anstadt	16 juli 2011
Ferenc Karinthy	29 februari 1992
Bart Tromp	20 juni 2007
Wim van Rees	
Misha Mengelberg	3 maart 2017
L.H.C. Hulsman	2009
Jan J. Klant	1994
Dick Hillenius	4 mei 1987
Teo Anton van Kooten	
Bas van de Werk	
Aad van der Mijn	
Jan Rogier	1986
Fenna van den Burg	19 augustus 2014
Paul van 't Veer	1979
Rudi Fuchs	
L.H. Wiener	
Johan T. van Minnen	18 april 2016
Arend Heyting	9 juli 1980
G.M.N. Verschuuren	
A.J. Cuppen	22 juli 2008
Johan Jansen	
Huib Riethof	
David Kettler	
G.H. van Es	
