Author	POB
K.J. Hahn	
Jacques Benoit	Leiden
Hendrik Houwens Post	Soerakarta
Hélène Nolthenius	Amsterdam
Johan Berger	Aalst
A.L.M. Arnolds	Bergen op Zoom
Victor E. van Vriesland	Haarlem
C.J. Kelk	Amsterdam
H.W.J.M. Keuls	Obdam
H.J.M.F. Lodewick	Maastricht
Ab Visser	Groningen
Hubert Janssen	Rotterdam
Jacques Idserda	Loosdrecht
Jan Derks	
J. van Delden	Beerta
F.J.J. Buitendijk	
P.H. van der Kemp	
Otto Dijk	Vlijmen
Otto van Eck	
Max Prick van Wely	
Anton van der Vet	
Peter Crassaerts	
R.J. Valkhoff	
J.J. Nieuwburg	
H. de Vries	
W.J.C. van Hasselt	Amsterdam
Nicolaas Beets	Haarlem
Jan Pieter Heije	Amsterdam
Hendrik Engelinus Weijers	Winkel
J. Ackersdijck	Hertogenbosch
E.J. Potgieter	Zwolle
Jacob Pieter van Walrée	Amsterdam
S.J. van den Bergh	Den Haag
J.P. Arend	Amsterdam
Herman Pol	Hengelo
A.L.G. Bosboom-Toussaint	Alkmaar
Willem Gerard Brill	Leiden
Joël Emanuel Goudsmit	Leiden
S. de Visser S.zoon	
J.I.D. Nepveu	Utrecht
L.Ph.C. van den Bergh	Düsseldorf
Johannes Gerardus la Lau	Leiden
J.J.A. Goeverneur	Hoevelaken
Conradus Leemans	Zaltbommel
Jan van der Hoeven	Rotterdam
Cornelis Star Numan	Sappemeer
Montanus de Haan Hettema	Bolsward
Taco Roorda	Britsum
John Bake	Leiden
Johan de Wal	Franeker
Jacob Geel	Amsterdam
André van Hasselt	Maastricht
J.F. Oltmans	Den Haag
A.L. Lesturgeon	Venlo
Willem Ernst Johan Berg	Amsterdam
Hendrik Jan Nassau	Middelburg
Wopke Eekhoff	Leeuwarden
H.F. Cohen	Haarlem
Henricus Bernardus Martini van Geffen	's-Hertogenbosch
Petrus de Raadt	Antwerpen
Leigh Hunt	Londen
Willem Moll	Dordrecht
Johan Rudolph Thorbecke	Zwolle
Hendrik Chistiaan Millies	Den Haag
Adriaan Beeloo	Den Haag
A.W. Engelen	Valburg
Bartholomeus Philippus de Kanter	Aardenburg
Levy Ali Cohen	Meppel
W.J.A. Jonckbloet	Den Haag
J. van Vloten	Kampen
W.C.L. Clarisse	Harderwijk
R.C. Bakhuizen van den Brink	Amsterdam
Henry Wadsworth Longfellow	
Joost Hiddes Halbertsma	Grouw
R.P.A. Dozy	Leiden
P.T. Helvetius van den Bergh	Zwolle
Friedrich Kaiser	Amsterdam
J. van Geuns	Amsterdam
Jan Gerhardus Ottema	Doetinchem
Gerrit de Clercq	Amsterdam
Johannes Kneppelhout	Leiden
C.J. van Assen	Harlingen
Gerardus Arnoldus Nicolaus Allebé	Amsterdam
C.W. Opzoomer	Rotterdam
Johannes Aletta Marinus Mensinga	Utrecht
Abraham des Amorie van der Hoeven jr.	Rotterdam
S. Vissering	Amsterdam
Martinus des Amorie van der Hoeven	Rotterdam
Dionys Burger	Rotterdam
Carl Ludwig Blume	Braunschweig
Willem Louis de Sturler	Tiel
Willem Leonard Ritter	Haarlem
C.H.D. Buys Ballot	Kloetinge
Jacobus Izaäk Doedes	Langerak
Jacob Dirks	Leeuwarden
F.C. Donders	Tilburg
Jan van Gilse	Zaandam
Johannes ab Utrecht Dresselhuis	Kampen
Georges Declercq	Zwevegem
Jacques François Bosdijk	Goes
A.J. de Bull	Amsterdam
Isaäc da Costa	Amsterdam
M.M. von Baumhauer	Brugge
T.W.J. Juynboll	Rotterdam
G.E. Voorhelm Schneevoogt	Haarlem
Henry Riehm	Deil
P. Halbertsma	Bolsward
Joannes Jacobus de Hollander	Aartswoud
T.K.M. von Baumhauer	Brussel
E. Piaget	
D.D. Büchler	
Willem Richard Boer	Rotterdam
J.J. Belinfante	Amsterdam
Jacques Clement Perk	
E.W. Beth	Almelo
J.J. Viotta	Amsterdam
P.A. de Génestet	Amsterdam
J.J. Rovère van Breugel	
Dirk Harting	Rotterdam
J.C.G. Evers	Den Haag
Carel Adriaan Engelbregt	Breda
Jan Heemskerk Bzn.	Amsterdam
E.B. Swalue	Standdaarbuiten
G. Knoop	
Christiaan Lodewijk Schuller tot Peursum	Oud-Alblas
J. Pijnappel	Amsterdam
J.A. Alberdingk Thijm	Amsterdam
David Bierens de Haan	Amsterdam
W.R. van Hoëvell	Deventer
Pieter Leendertz Wz.	Amsterdam
Mark Prager Lindo	Londen
Jacob van Lennep	Amsterdam
A.C. Oudemans	Dordrecht
Johannes Zeeman	Numansdorp
Lodewijk Willem van Deventer	Den Haag
Aug. Philips	
Jakob Karel Willem Quarles van Ufford	Rijswijk
Hendrik Jan Spijker	Amsterdam
Johan Carl Zimmerman	Batavia
H.J. Schimmel	's-Graveland
H.J. van der Helm	
Jacob Leonard de Bruyn Kops	Haarlem
Jacob de Witte van Citters	Den Haag
Ernst Julius Kiehl	Den Haag
W.J. Hofdijk	Alkmaar
F.M. Cowan	Londen
J.G.A. Faber	
Johannes Adriaan Molster	Amsterdam
Henriette Frederika Bosscha	Deventer
Hendrik Jacob van der Heim	Middelburg
C.L. van Woelderen	Vierlingsbeek
Louis Susan Pedro Meyboom	Emden
Daniel Koorders	Maarssen
L.M. Heemskerk	
J.L. Dusseau	Graveland
Marinus Lodewijk van Deventer	Den Haag
A. Rientjes	
S.J. Hoekstra	Haskerdijken
Arie de Jager	Delfshaven
Gozewinus Acker Stratingh	Adorp
Winand Carel Hugo Staring	Wildenborch
H.W. de Graaf	
Pieter Arend Leupe	Haarlem
Guillaume Henri Marie Delprat	Den Haag
C.C. Huysmans	Breda
H. van Cappelle jr.	Amsterdam
Elise van Calcar	Amsterdam
Theo Hermans	
F.J. Swartwout	
Cornelis Hooyer	Arnhem
Daniël Veegens	Haarlem
Johannes Bosscha	Harderwijk
L.J. Egeling	Haarlem
Pieter de la Court	Leiden
Johan de Witt	Dordrecht
J. Tideman	Alkmaar
F.A.W. Miquel	Neuenhaus
D.J. Coster	Amsterdam
Carl A.X.G.F. Sicherer	Rottweil
Adriaan Loosjes	Haarlem
Jan Herman Herman de Ridder	Culemborg
Joannes Tideman	Amsterdam
H. van Cappelle	Amsterdam
Jan Willem van der Noordaa	Dordrecht
Samuel Adrianus Naber	Den Haag
Willem Doorenbos	Deersum
H. Halbertsma	Sneek
P.J. Hollman	Antwerpen
Antonius van der Linde	Haarlem
Cornelius Marinus de Jong van Rodenburgh	Vught
Mari Johan Mees	Deventer
Lodewijk Willem Ernst Rauwenhoff	Amsterdam
J.C. Reepmaker	
Jan Jacob de Gelder	Den Haag
L. de Hartog	Gorinchem
Johan Adam Wijnne	Hoogeveen
E. van der Ven	Edam
Jan Pieter Nicolaas Land	Delft
Jan Gerrit Hulleman	Utrecht
Nicolaus Meursinge	
Antony Winkler Prins	Voorst
J.W. Muller	Amsterdam
Wilhelm Christiaan Knottenbelt	Mijnsheerenland
C.P. Tiele	Leiden
Carel Vosmaer	Den Haag
Geert Berings	
N.W.P. Rauwenhoff	
Johannes Margadant	Den Haag
Simke Heerts Rinkes	Joure
Abraham Kuenen	Haarlem
C.P. Burger	Gouda
Walter Bosch	
Nicolas Charles Sieburgh	Amsterdam
