Author	POB
H. Logeman	Haarlem
Willem Bilderdijk	Amsterdam
S.R. Steinmetz	
B.J.H. Ovink	
J.E. Enklaar	Doesburg
Frans Coenen	Amsterdam
Elie van Rijckevorsel	Rotterdam
Philippe Zilcken	Den Haag
A.W. Pulle	
Jan Veth	Dordrecht
Joannes van der Vliet	Reeuwijk
L. Serrurier	Dordrecht
Nicolaas Dirk Doedes	Rotterdam
Betsy Juta	
August Gittée	Gent
Willem Gerard van Nouhuys	Zaltbommel
J.F.D. Blöte	
Ch.M. van Deventer	Dordrecht
C.H.H. Spronck	
F.V. Engelenburg	Arnhem
Gerard Vissering	
H.Z. Zegers de Beijl	Garderen
Frederike J. van Uildriks	Groningen
H.S.M. Wickevoort Crommelin	
Philippus Samuel van Ronkel	Zutphen
J.H. van 't Hoff	Rotterdam
A.G. van Hamel	Hilversum
H. Heukels	
G.F. Haspels	Nijmegen
Willem Duflou	Gent
C. Winkler	
Jan Marcus Hoogvliet	Schiedam
C.A. Pekelharing	
H.Y. Groenewegen	
Foeke Buitenrust Hettema	Harlingen
W.L.P.A. Molengraaff	
Ida Heijermans	Rotterdam
Jacob Gerard Patijn	Wadenoijen
W.M. Engelberts	
H.A. Lorentz	Arnhem
H. Zwaardemaker	Haarlem
Augusta de Wit	Sibolga (Sumatra)
Hendrik Clemens Muller	Amsterdam
L.J. Plemp van Duiveland	Rotterdam
J. Mathijs Acket	Hertogenbosch
G. den Tex	
H. Tz. Pyttersen	
Johan Hora Adema	Holwerd
Maurits Wagenvoort	Amsterdam
Carel Scharten	Middelburg
C.A.E. Wichmann	Hamburg
Frank van der Goes	Amsterdam
M.W.F. Treub	Voorschoten
B.D. Eerdmans	Maasdam
W.Ph. Scheuer	Rotterdam
Joh. H. Been	Brielle
H.A. Kooyker	Amsterdam
F. Beelaerts van Blokland	Den Haag
G.H. Marius	
G.J. Kolff	
H.W.Ph.E. van den Bergh van Eysinga	Den Haag
Hendrik Doeff	Amsterdam
O.M. de Munnick	Batavia
Anna van Hogendorp	Den Haag
J.H. van den Broek	Breda
Gerrit Halfcaegh	
Gianni Riotta	Palermo
J.W. Doyer Jz.	
G.P. Rouffaer	
Margo Scharten-Antink	Zutphen
A.W. Byvanck	Leiden
Johannes Hermanus Gunning J. Hzn.	Hilversum
D.G. Jelgersma	
Margaretha Meijboom	Amsterdam
D.E. Siegenbeek van Heukelom	Poederoijen
D. Simons	
Egberdina Anna Junius	Letjesbosch
F.A.F.C. Went	
Julius de Boer	Malang
Gerrit van Gorkom	Zutphen
Hendrik Johan Haverman	
L.S. Meijer	
Aletta H. Jacobs	Sappemeer
Paul François Hubrecht	Leiden
Charlotte van Herwerden	
C.H.Th. Bussemaker	Deventer
L.E. Visser	
Anna Ekker	
Conrad Th. van Deventer	Dordrecht
Judith Viorst	Newark (New Jersey)
Frans Mijnssen	Amsterdam
Ida Haakman	
Nellie van Kol	's-Hertogenbosch
Fleur Bourgonje	Achterveld
Anna Germonprez	Oudenaarde
M. Tonnet	
Gerard van Eckeren	Haarlem
M.J. Pijnappel	Amsterdam
Aloysius Brouwer Ancher	Amsterdam
Hugo Krabbe	Leiden
J.W. Jenny Weijerman	
P.C. Boutens	Middelburg
Bas Veth	Amsterdam
C.H. Kühn	
J.C. van Leyden	
W.P. Kops	Utrecht
S. van Aken	
G.H. Betz	Rotterdam
A.D. van Assendelft de Coningh	Bergen op Zoom
J. Marx	
Bernard Gewin	Rotterdam
C.G.S. Sandberg	
T.J. de Boer	Wirdum
J. Eigenhuis	Aalsmeer
C.A. Worp-Roland Holst	
Arnoldus Wilhelmus Stellwagen	Norg
J.H. de Veer	Delft
G.H. van Waveren jr.	
N. Mansvelt	Wassenaar
J.C.G. Grasé	
Guido Gezelle	Brugge
H. van Hogendorp	
Gijsbert Karel graaf van Hogendorp	Rotterdam
Johannes Hasselman	Nederhemert
Marie Metz-Koning	Amsterdam
Gerard van Hulzen	Zwolle
H.R. Offerhaus	
J.E. Jasper	
J.J.G. Vürtheim	
Richard de Cneudt	Gent
E. van Hille	
J.P. van Rossum	
C.K. Elout	Utrecht
J. Mar. Ruys	
Maurice Wilmotte	Luik
J.A. Simons-Mees	Rotterdam
Antoon Derkinderen	Hertogenbosch
P.J. van Löben Sels	
A.W. Nieuwenhuis	
I. Kooistra	
G.P. Bakker	
P. Leendertz (jr.)	
B. Symons	
Willem Lodewijk van Helten	Hedel
Alfred Listal	
Gideon Busken Huet	Haarlem
L.N. de Jong	
Dan. Engelen	Nijmegen
F.J.L. Rompel	Amsterdam
H.G. van der Vies	Amsterdam
T.J. Bezemer	Delfshaven
J. Everts	Utrecht
Maria Muller-Lulofs	Amsterdam
Paul Fredericq	Gent
Elizabeth Visser	
Israël Querido	Amsterdam
Gerrit Simons	Utrecht
Louis Carbin	Margarethenburg
Theodoor Bernard van Lelyveld	Semarang
Johanna Naber	Haarlem
Martina G. Kramers	
C.B. Hylkema	Akkrum
G. van Rijnberk	
N. van Wijk	Delden
W. de Vletter	
M.J. Brusse	Amsterdam
Hélène Mercier	Amsterdam
D. Bos	Groningen
H.L. Oort	
Pieter Corbeels	Leuven
Johannes Everts jr.	Kralingen
F. de Haan	Leeuwarden
F.A. van Engen	
L.F. de Beaufort	Leusden
Sara Bouterse	
J.H. Blankert	Ouddorp
Hendrik Mulder	
Wilhelmus Johannes Kühler	Amsterdam
G.A. van den Bergh van Eysinga	Den Haag
W.E. van Dam van Isselt	Bergen op Zoom
Johan Christiaan van Eerde	Workum
W. Vollgraff	
G. Polvliet	
Ch.F. Haje	
A. Hotz	
Sam Goudsmit	Kampen
A. Kluyver	
L.H. Grondijs	Pamekasan
Jan Limburg	
Karel Vos	Rotterdam
Jozef Israëls	Groningen
Tine van Buul	Rotterdam
Martha Johanna Hamaker	
A.E. Thierens	Monnickendam
Gustaaf D' Hondt	Sint-Denijs-Westrem
J.J. Salverda de Grave	Noordwijk
J. de Jager	
J.W.T. Cohen Stuart	Surakarta
H.J. Hamburger	
W.H. Hasselbach	
J.M. Hoogvliet	Spaarndam
J.H. Deibel	
Nicolaas Japikse	Joure
A.J.G. Maclaine Pont	Jakarta
Anna van Gogh-Kaulbach	Velsen
Louis Havet	
J. van den Bergh van Eysinga-Elias	Amsterdam
M.H. Lem	
A. Meyroos	
J. Hobma	
I. Zeehandelaar	
H.P. Staal	Zwolle
J. Boudewijnse	Den Haag
J.D.C. van Dokkum	
Leo van Puyvelde	Sint-Niklaas
Martinus Poelhekke	
Samuel Pierre l' Honoré Naber	Zwolle
Jan Jacob Thomson	Bredevoort
F. Schmidt-Degener	Rotterdam
Arthur van Schendel	Batavia
Johannes Aarnout Loebèr jr.	
J.H.F. Kohlbrugge	
H. Buringh Boekhoudt	Delfzijl
Nico Oosterbeek	
Th. van Ameide	Ameide
P.N. van Eyck	Breukelen
C. te Lintum	Winterswijk
O. Oppermann	
Herman Robbers	Rotterdam
P. van Romburgh	
S. Bonn	Amsterdam
Hendrika Boer	
J.A. van Hamel	Amsterdam
Pieter Valkhoff	Heerenveen
Geerten Gossaert	Kralingen
Rommert Casimir	Kollum
Johannes Benedictus Kan	Groningen
Eltjo Aldegondus van Beresteyn	Haarlem
William Davids	
Johanna Westerdijk	Nieuwer-Amstel
H.G. van der Waals	
G.J. Nieuwenhuis	
Dorothée Buys	
Jacob Israël de Haan	Smilde
Adriaan van Oordt	Dresden
E.M. ten Cate	Zwolle
J.H. Holwerda	
Herman Middendorp	Wolvega
Jan Jelles Hof	Gaastmeer
Nico van Suchtelen	Amsterdam
Multatuli	Amsterdam
C.J. Hasselman	
J. Prinsen J.Lzn	Hertogenbosch
Willem Meijer	Amsterdam
F.M. Wibaut	Vlissingen
Herman Baccaert	Mechelen
J.Ph. Vogel	
H.N. de Fremery	
Jac. P. Thijsse	Maastricht
J.B. Kan	Nijmegen
Jan Slingenberg	
H.F. Jonkman	
G.J. Heering	Pasoeroean
J.J. Tesch	Amsterdam
P. Otten	Den Haag
Coen Hissink	
J.J. Bekaar	
Wilhelm Loeb	Den Haag
Ina Boudier-Bakker	Amsterdam
Aart van der Leeuw	Delft
J.D. Bierens de Haan	Amsterdam
Nicolaas Messchaert	Hoorn
A.S. van Oven	
Just Havelaar	Rotterdam
Frederik Daniel Eduard van Ossenbruggen	
Hendrik Onnen	
Jan de Gruyter	Lekkerkerk
Johan Toot	
H.L. de Beaufort	Leusden
Richard Roland Holst	Amsterdam
Th.M. Roest van Limburg	Rotterdam
C.E. Hooykaas	Rotterdam
H. Burger	Delft
Willem Kalma	
J. Bosboom Nz.	
J. Philip van Goethem	
H.J. Westerling	
Jacobus Gerardus Veldheer	
Ernst Heldring	
Marie Loke	
J.C. Hol	
Johan van Meurs	
Peter Spaan	
N.H. Swellengrebel	Amsterdam
A.W. Weissman	Amsterdam
Anton Reinhard Falck	Utrecht
C. Kramer	
Leonie van Nierop	
C. Pekelharing	
J.J.B. Elzinga	Haarlemmermeer
Johan Wesselink	
J. Berlage	Amsterdam
H.P.N. Muller	Rotterdam
J. Rietema	Leens
Jan Overduin	Leiden
Gerrit Kalff jr.	Amsterdam
Jo van Ammers-Küller	Noordeloos
M.A. van Herwerden	
J.G. Sleeswijk	Den Haag
Frans Bastiaanse	Utrecht
A.W. van Renterghem	
François Pauwels	Amsterdam
Jan Prins	Rotterdam
P.F.H. Fromberg	Amsterdam
G.J. Hoogewerff	Amersfoort
J. de Wit	
F. de Sinclair	
Gerard van den Hoek	Leeuwarden
Jan J. Zeldenthuis	Westervoort
Frank Gericke	
Zadok Stokvis	Den Haag
A.H. Blaauw	Elst
Kornelis Sneyders de Vogel	Schiedam
G.C.J. Vosmaer	
C.A. van Manen	
C. Becker	Oldenzaal
F.E. Posthumus Meyjes	Amsterdam
F.W.J.G. Snijder van Wissenkerke	Middelburg
Matthée Corneille Valeton	
L.L.C.M. van Outhoorn	
Jan van Rossem	
Joseph Loopuit	Amsterdam
Halbe Binnerts	Heerenveen
Pieter Willem de Koning	
Jean-Pierre van Rossem	Brugge
Top Naeff	Dordrecht
A. van Collem	Rotterdam
Em. Querido	Amsterdam
Th. de Meester	Harderwijk
Tobie Goedewaagen	Amsterdam
W. Nolen	Rotterdam
Wally Moes	
P. van Schilfgaarde	
W. de Sitter	Sneek
Karel Wasch	Middelburg
Johan W. Schotman	Hoogeveen
Jac. D. Huizinga	Huizinge
S. Pinkhof	Amsterdam
A.A.H. Struycken	
A.J. Wensinck	
B.C.J. Loder	
Käthe Mussche	
K. Jansma	Amsterdam
Jac. van Looy	Haarlem
C.T. van Valkenburg	
S. Ritsema van Eck	
R. de Josselin de Jong	
Henri van Booven	Haarlem
Jelte Dijkstra	Grijpskerk
J.P. Kuenen	
J.J. Boasson	Middelburg
J.M. van IJssel de Schepper-Becker	Rotterdam
Adriaan J. Barnouw	Amsterdam
E. W. Holthuysen	
Petrus Raëskin	
M.J. Sirks	Rotterdam
Frits Hopman	Amsterdam
Dirk Merens	
Herman Lysen	
J. van Oudshoorn	Den Haag
Isidoor Teirlinck	Zegelsem
J. de Marees van Swinderen	Leeuwarden
R.A. Verweij	
Meint Joustra	Bolsward
E.C. van Dorp	Arnhem
W. Elink Schuurman	
A. van Hengel	
G.F.E. Gonggrijp	
Multavidi	
W.B. Kristensen	
H. van Loon	
Dan. de Lange jr.	
C. Lekkerkerker	
J. Rietsema	
Marie Schmitz	Haarlem
H. Oort	
J.A. Eigeman	
A.H.M.J. van Kan	Maastricht
Martin Albers	
A.C. Josephus Jitta	
K.H. Roessingh	Groningen
G. Titta Rosa	L'Aquila
S.H. de Roos	Drachten
Laurens van der Waals	Utrecht
Henriette Laman Trip-de Beaufort	Baarn
Andrew de Graaf	Rotterdam
Simon van Brakel	Dordrecht
P.C.J.A. Boeles	Assen
Job Steynen	Gouda
Emmanuel de Bom	Antwerpen
Madeleine Böhtlingk	Arnhem
Herman Poort	Stadskanaal
Cornelis Veth	Dordrecht
D.M.G. Koch	
Timon Hendrik Fokker	Batavia
A.J. de Sopper	Brugge
Herman Frijda	Amsterdam
Marie Cremers	Amsterdam
C.A. Verrijn Stuart	Weesp
Jeanne van Schaik-Willing	Amsterdam
Jac. C. Bloem	Tilburg
Johannes van der Elst	Groningen
Hk. de Vries	
E.E. Gewin	Abcoude
J.A. Schroeder	
Is.P. de Vooys	Gouda
Antoon Thiry	Leuven
H.A. Enno van Gelder	Gouda
Marcus van Blankenstein	Ouderkerk aan den IJsel
Johan Fabricius	Bandung
Jo de Wit	Rotterdam
Henri Bakels	
Hendrika Ghijsen	Middelburg
F. Adama van Scheltema	
A. Geyl	
L. Ali Cohen	Semarang
Johan Huijts	Rotterdam
W.M.F. Mansvelt	Stellenbosch
Lode Baekelmans	Antwerpen
J.P. Fockema Andreae	Leiden
Edith Werkendam	Amsterdam
J. Faber	
Frits G. Tingen	
A.M. Hammacher	Middelburg
Isidoor van Beugem	Moorsel
Elisabeth Reitsma	Groningen
L.M.A. von Schmid	Maastricht
Sybrandi Braak	Aalsmeer
C.M. van Hille-Gaerthé	Zwolle
Petrus van Renesse	
André Jolles	Den Helder
E.F. Kossmann	St. Petersburg
D.Th. Jaarsma	IJlst
Gerbert Scholten	
E.C. Abendanon	Pati
F. Dijkema	Ezumazyl
J.P.A. François	Den Haag
H.H.J. Moulijn-Haitsma Mulier	
Nine van der Schaaf	Terhorne
Jo Landheer	Rotterdam
P. Verhagen Lzn.	
A.B. Droogleever Fortuyn	Rotterdam
J. Burger	
J.J.L. Duyvendak	Harlingen
Gerard Brom	Utrecht
J.A. Lambert-van der Kolf	
C. Bakker	Koog aan de Zaan
J. Bierens de Haan	Ootmarsum
J.W. Marmelstein	
Miek Janssen	Arnhem
G.J.D.C. Stempels	
Jenny Mollinger	
W. Kuenen	
J.M. Bottemanne	Leiden
Adriaan Daniel Fokker	Buitenzorg
Willem Leendertz	Veenwouden
Beatrice Willing	
J.J. van Loghem	
Frans Maurits de Jaeger	Den Haag
Jooske Brandeler-den Beer Poortugael	Den Haag
J. Aalbers	
C.W. van der Pot	Zevenbergen
Cornelia Serrurier	
J.P. Wesselink-van Rossum	
H.M.J. Oldewelt	
G.W.J. Bruins	Zutphen
G.J. Geers	Delft
Elize van Kaathoven	
J.H. Kramers	Rotterdam
Siegfried E. van Praag	Amsterdam
Teatse Eeltsje Holtrop	IJlst
A.M. de Jong	Oostburg
Constant van Wessem	Den Haag
Daniël Crena de Iongh	Dordrecht
Sybrand Allard Waller Zeper	Leeuwarden
G.H. Hintzen	
H. Enno van Gelder	Amsterdam
H.C. Hartevelt	
Albert Plasschaert	Sas van Gent
Johannes Tielrooy	Texel
Theodoor Jan Stomps	
H.L. van Oordt	
P. Verdoes	
W.E. van Wijk	Amsterdam
G.J.C.A. Pop	
René Klinkenbergh	
J.C. Baak	Nijmegen
A.S. Oppenheim	
P.E. van Renesse	
C.J. Wolterbeek	Steenderen
Agatha Seger	
H.L. van Duyl	Kampen
Willem de Mérode	Spijk
Lodewijk Franck	Antwerpen
D. Loenen	Nieuw-Loosdrecht
G.A. van Klinkenberg	Amerongen
J.W. Teillers	
F.C. Dominicus	Wemeldinge
Willem de Clercq	Amsterdam
E.D. van Dissel	Bladel
H. Ribbius	
P. Roosenburg	
W. Feuilletau de Bruyn	Palembang
W.H. Staverman	Twello
J.H. van Zanten	
Ferrad Whaley Hudig	Rotterdam
Willem van Doorn	Arnhem
A.G.N. Swart	
J. Reitsma	
H.T. de Graaf	Kollum
J.P. van Limburg Stirum	
G.J. Morsch	
J.E. van der Pot	Zwolle
C. Wolterbeek	
Arthur J.H. Cornette	Antwerpen
S.I. van Zuylen van Nyevelt	
D. Merens	
Boris Raptschinsky	
A.J. van der Steur	Haarlem
A. Plate	
W. Kramer	Westmaas
A.W.C. Zuidema	
Willem Pijper	Zeist
Wilhelm Martin	Quakenbrück
J.Z. Kannegieter	
Abraham Benjamin Cohen Stuart	Semarang
C. de Boer	Leiden
Reinier van Genderen Stort	Buitenzorg
N.J. Polak	
Johannes Lindeboom	Deventer
Matthijs Vermeulen	Helmond
Robert van Genechten	Antwerpen
B.G. Escher	Gorinchem
P.L. van Eck jr.	
C.J. Blaauw	Amsterdam
D.F. Slothouwer	
R.W.J. den Tex	
Herman Vos	Antwerpen
F.J.A. Huart	Delft
D.J. Sannes	
D. Dresden	Amsterdam
J.B. Manger	
J.A.J. Barge	Semarang
L.A. Alting Mees	
A.A.M. Stols	Maastricht
L.J. van Holk	Amsterdam
J.H. Plantenga	Rotterdam
T.J.C. Gerritsen	Hoogeveen
C.L. Heesakkers	Berlicum
Hermann Wolf	Keulen
B. van Geuns	Haarlem
Arnold Lysen	
Th. van Welderen Rengers	
Leendert van Lange	Rotterdam
E.A.N.P. Franchimont	
E. du Perron	Jatinegara
R.A.D. Cort van der Linden	Groningen
Pieter Zeeman	Zonnemaire
Kasper Niehaus	Groningen
Raymond Herreman	Menen
Maria van Royen	
F.G. Scheltema	Groningen
J.F. Kunst	
Fenna de Meyier	Indramajoe (Java)
C.H. van Os	Ambarawa
P.J. Fehmers	Rotterdam
Antoon Jacob	Boom
Antoon Gerard Roos	Groningen
Ben Onie	
L.G.M. Baas Becking	Deventer
Boudewijn Nierstrasz	
J.W. van Nouhuys	Leiden
Amand Simoens	Kortrijk
R. Wiarda	
Lien ter Laan-van Lokhorst	Valburg
M.A. Muusses	Purmerend
F.D.K. Bosch	Potchefstroom
H.A. Mulder	Zaamslag
August Vanhoutte	Oostende
Roelof Kranenburg	Groningen
J.M. de Casseres	Beverwijk
W.E.J. Kuiper	
Hendrik Brugmans	Amsterdam
Godard Gosses	Dokkum
Hermien Manger	Amsterdam
Willem van Maanen	Amsterdam
Jan Kalf	Amsterdam
J.M.J. Schepper	
Jérôme Decroos	Pollinkhove
Dirk Hudig	Rotterdam
Evert Willem Schallenberg	Rotterdam
C.M. Hamaker Sr.	
A.W. Grauls	Antwerpen
C. Binnerts	Meppel
W.J. van de Woestijne	Amsterdam
F.A. van der Hoeven	
I.J. Brugmans	Groningen
Ralph Springer	
F.A.J. Vermeulen	
A.C. Kersbergen	
C.J.J. Westermann	
Jan P.M.L. de Vries	Amsterdam
Jacob Haantjes	Renkum
H.G.J. Maas Geesteranus	
I.H. Gosses	Dokkum
Jan Carel de Haan	Soemedang
J. Zaaijer	
C. Tielrooy-de Gruyter	
Arie Zijderveld	Hendrik-Ido-Ambacht
David Jacob van Lennep	Flims
Christoffel Verwey	
G.A. Nauta	
A.A. Bake	Hilversum
Richard Minne	Gent
Han G. Hoekstra	Den Haag
Jaap van Gelderen	
W.L. de Vreese	Gent
Anny C.A. Alberdingk Thijm	
H.N. ter Veen	
J.A. Pollones	
J. Wolterbeek Muller	
Gerrit Besselaar	Rotterdam
Gabe van der Zee	Koudum
Wilhelmina Smit-van de Wall	
J.C.M. Warnsinck	Hoogwoud
N. Levi	
D. Cohen	Deventer
R.F. Beerling	Gorinchem
Jaap Kunst	Groningen
L. Kappeyne van de Coppello-Wijgers	
A. Feberwee	Deventer
Leo Plemp van Duiveland	Rotterdam
H.Th. de Booy	Den Helder
C.W. Roldanus	Den Haag
J.B. Besançon	Amsterdam
Barend ter Haar Bzn.	Eemnes
Jacoba Eggink	
C. Weststrate	Wemeldinge
Douwe Kalma	Boksum
André De Weerdt	Antwerpen
G.W.J. Drewes	Amsterdam
Henri Houben	
L.K. Wolff	
B. Vechtman	
Hugo de Groot	Delft
Emile Verviers	
A.N.J. den Hollander	
M.R.J. Brinkgreve	Utrecht
J.H. Pluvier	
P.C. Molhuysen	Almelo
D.J.H. ter Horst	
A.H. Philipse	
Paul Cronheim	Amsterdam
K.S. van Heynsbergen	
Kees van Bruggen	Den Helder
Garmt Stuiveling	Stroobos
Elisabeth du Perron-de Roos	
A.W. de Groot	Groningen
Klaas Heeringa	Ternaard
R.J. Kortmulder	
C.J. de Vogel	
Anton Koolhaas	Utrecht
Homerus	
J.J. von Schmid	
K.F.O. James	
A. Hendriks-Kappelhoff	Amsterdam
Ed Coenraads	Wageningen
Tine Brinkgreve-Wicherink	Alkmaar
B.M. Telders	Den Haag
Hermanus Arnoldus Idema	
Ar. Kwink	
P.J. van Winter	Utrecht
H.A.C. Snethlage	
Marion Duimel	Pijnacker
J.H. Scholte	
J. Steur	
A. Jager	
Sofia Antoniadis	Piraeus
Edgar Allan Poe	Boston
J.G. van Dillen	Amsterdam
Theodorus Ligthart	Amsterdam
Jan Daman	Middelburg
Gs. Finjee	Utrecht
Erik Hörnström	
M.H. Székely-Lulofs	Soerabaja
G. van der Leeuw	Den Haag
Aleksej Hackel	Sint-Petersburg
E.H. ter Kuile	
F.W.S. van Thienen	
Jan Hulsker	Den Haag
H. Hettema jr.	
C.D.J. Brandt	Utrecht
H.J. de Vleeschauwer	Dendermonde
J.F. Haccoû	
G. Knuttel Wzn	Den Haag
A.J. Bernet Kempers	Hertogenbosch
W.F. Prins	
Hajo Brugmans	Groningen
Chr. Cornelissen	Hertogenbosch
Maurits Sabbe	Brugge
W.J. Aalders	Amsterdam
Ph.J. Idenburg	Hillegersberg
Marie van Dessel-Poot	Vlaardingen
Johannes Rahder	Lubuk Begalung
Uys Krige	
J.R. van Blom	
Truus Gerhardt	Amsterdam
G. Knuttel jr.	Delft
Jan Willem Meyer Ranneft	Magelang
Frans Buyle	Sint-Niklaas
F.W. Prins	
Hermann Goetz	
Eline Canter Cremers-van der Does	Maassluis
H.N. Boon	Rotterdam
T. van der Zee	
Hendrik Riemens	
H. van der Tuin	Amsterdam
J.J. Schrieke	
Arnoldus Noach	
J.F. Niermeyer	
Eduard Reeser	Rotterdam
D.F.W. van Lennep	
J.N. Bakhuizen van den Brink	Joure
Lode Zielens	Antwerpen
F.L. Ganshof	Brugge
Johan Wesseling	
F.S. Knipscheer	Amsterdam
C.J. van Geel	Dubbeldam
P. Lascaris	
A.F. Zwaardemaker	
G.G. Kloeke	Schagen
J.P. Wiersma	Hallum
Herman Dirk van Broekhuizen	Rijssen
Willem Johannes Leyds	Magelang
S. Posthuma	
Stephan Ronart	
G.S. Overdiep	Vries
J.H. Boeke	Wormerveer
N.J. Krom	Hertogenbosch
C.F. Roos	
H. Drion	Den Haag
C.H. de Goeje	
A.L. Wurfbain	
J. Molemans	
G. Bolkestein	Amsterdam
A. Hollenberg	
F.M.P. Oosterhof	Kampen
W. Arondéus	Naarden
George Lodewijk Schorer	
Jan Willem Berkelbach van der Sprenkel	Gouda
Wim van de Woestijne	
Jan Spoelstra	
William Shakespeare	Stratford-upon-Avon
H.J.F.W. Brugmans	Laken
K. R. Gallas	Amsterdam
C.C. van de Graft	Tholen
A.G.A. van Rappard	Utrecht
Waldie van Eck	
K. Posthumus	
F.W.A. Korff	Amsterdam
M.J. Langeveld	Haarlem
Willy Dols	
C.F.A. van Dam	Amsterdam
A.C. Verbeek	
Leonhard Huizinga	Groningen
N.E.M. Pareau	Groningen
S.M. Noach	
H. Kraemer	Amsterdam
J. Patijn	
D.T. Spronk	
C.F. Meyer	Zürich
Ida Gerhardt	Gorinchem
Andreas Glotzbach	
A.H. Nijhoff	Den Haag
Henk Vastenouw	
G.H. Blanken	Varsseveld
Maurice Roelants	Gent
J.R. Evenhuis	
Christina Kroes-Ligtenberg	Bolsward
A.J. van Soest	
Koos Schuur	Veendam
E. Cantillon	Hoogvliet
Theo van Baaren	Utrecht
W. Wiersma	
A.J. Jansen	
Th.H.J. van Huet	
J. Buffin	
P.W.J. Steinz	
Hein de Bruin	IJlst
Elizabeth Barrett Browning	Durham
K. ter Laan	Slochteren
Horatius	
Elisabeth Cheixaou	Zweeloo
H.J. Pos	Amsterdam
H.J. van Tienhoven	
J.G. Delfgaauw	
G. Révész	Síofok
O. Bottema	Groningen
Daan Zonderland	Groningen
F. Lulofs	Den Haag
W.Ph. Coolhaas	Brielle
Jan Waterink	Nieuwleusen
A.A. Verdenius	Drachten
Jorge Manrique	
G. le Maire	Roosendaal
H.P. van den Aardweg	Hoorn
Jan Hendrik Jongkees	Bussum
Johanna K. Oudendijk	
Herman Johannes Lam	
H. Wagenvoort	
Willem van Reymerswael	
G.J.H. Kuyk	
Frank Onnen	Baarn
Leo Verdievel	Brugge
F. Ph. Groeneveld	
W.J.W. Koster	
W. Rip	
E. Horbach	
C.W. de Vries	
Jacobus Schuurmans Stekhoven	Leiden
Th.H. Lunsingh Scheurleer	
Eva E. Gerretsen	
G. Milius	
J.D.M. Cornelissen	Hertogenbosch
H. Engel	Koog a/d Zaan
Nel Veerman	
J. Hoogendoorn	
Alfred de Musset	Parijs
R. van Luttervelt	Haarlem
C.W. Sangster-Warnaars	
M.C. van der Werff	
Jan Klein	
E. Smedes	Assen
W. Gerdes	
J. Delden	
G.F.W. van Berckel	
F. Oudschans Dentz	Leeuwarden
August Henkels	
Abraham Schierbeek	Leeuwarden
Karel Jonckheere	Oostende
A.E. Rosendahl Huber	
Martin Permys	Amsterdam
Ph. Kohnstamm	Bonn
Johanna de Jongh	Kampen
J. de Kanter	
K.F. Proost	Geervliet
L. Aletrino	Amsterdam
T.P. Sevensma	Sneek
H. Gerversman	Sittard
J.M. Kramer	
Sergei Smirnov	
I.A. Bunin	Vorónezj
Dmitrij Sergeevic Merezjkovskij	Rusland
J.H. Thiel	Amsterdam
H.W. van Tricht	Arnhem
A. van Velsen	
Willem van Everdingen	
A.M. van der Giezen	Middelburg
Frouwien van der Vooren-Kuyper	
Herman Meyer	Amsterdam
K. Strijd	
J. Kruseman	
J.E. Verschaffelt	
Henk Breuker	Amsterdam
L.M.Fr. Daniëls	Nijmegen
G.H. 's- Gravesande	Buitenzorg (Java)
H.E. Enthoven	Amsterdam
W. Vloedgraven-Stuyver	
R.A.V. van Haersolte	
Michel van der Plas	Den Haag
Eduard Verkade	Amsterdam
Jan Gonda	
L. van den Ham	
M.C. Tideman	Rotterdam
Sjoerd Leiker	Drachten
W. Lubberink	De Wijk
J. Bax	
J.C.J. Kleijntjens	Maastricht
J.M. Sterken	
Lou Vleugelhof	Ovezande
Tue Gad	
S.A.M. Bottenheim	Amsterdam
R.F. Scheltema de Heere	Den Haag
Mies Bouhuys	Weesp
Willem den Boer	Dordrecht
L.C. Michels	Schijndel
J.R. Thorbecke	
L.W.G. Scholten	Amsterdam
Dirk Schoute	Deventer
Marinus van der Goes van Naters	
Bas van Gelder	IJsselmonde
A. Bicker Caarten	Elburg
P.J. Enk	Nijmegen
H. van de Waal	Rotterdam
M. van der Plas	
P. Krug	
Johannes van Melle	Goes
Nicholas G. Lély	
Jan C. M. Leijten	Etten-Leur
J.A. Bierens de Haan	Haarlem
Amoene van Haersolte	Utrecht
A.M. Chamalaun	
J.L.F. van Essen	Arnhem
Th.C. van Stockum	Dordrecht
Léon Polak	Rotterdam
Carl Mennicke	Elberfeld
Henri Overhoff	Bergen op Zoom
M. de Vroede	Mechelen
A.V.N. van Woerden	
Johan Tersteeg	Den Haag
B.L. van der Waerden	
A.G.M. van Melsen	
Fanny de Jong	
Karel Kuypers	
Paul A.G. Dibon	Romorantin (Loir & Cher)
Manuel van Loggem	Amsterdam
Jaap Romijn	Utrecht
Alb. de la Court	Leiden
Julien Benda	Parijs
Nico Verhoeven	Vught
Wouter Nijhoff	Den Haag
Th.M. Metz	
Henriëtte Schuurbeque Boeye	Zeist
Hanny Michaelis	Amsterdam
Carel Swinkels	Amsterdam
C. Buddingh'	Dordrecht
L.Th. Lehmann	Rotterdam
J.E. Jonkers	
J. van IJzeren	
C.H. Telders	Den Haag
J. Milius	
W.L.M.E. van Leeuwen	Amsterdam
T.S. Eliot	Missouri
Charles B. Timmer	Amsterdam
M. Klaassen	
Dj. Adinegoro	Talawi, Sawahlunto
Bertus van Lier	Utrecht
F.W. Zeylmans van Emmichoven	Helmond
Hans Bendien	
John Vandenbergh	
